/* DESCRIPTION:
Reference:	Nuernberg, D., M. Ziegler, C. Karas, R. Tiedemann, and M. Schmidt. 2008. Interacting Loop Current variability and Mississippi River discharge over the past 400 kyr. Earth and Planetary Science Letters, 272(1-2), 278-289, https://doi.org/10.1016/j.epsl.2008.04.051.
Data from:	https://www.ncei.noaa.gov/access/paleo-search/study/6417
Comment:	Empty data points were removed.
*/
Depth [cm]	Age [ka]	d18O (G.ruber w.)	d18O (G. crassaf.)	d18O (U.peregr.)	SST [C] from Mg/Ca	Coarse carb. [%]
1860	182037	-0.623		4.048	24.98	
1865	182889	-0.62		3.978	24.19	23.919
1870	183741	-0.303		3.816	25.02	
1875	184593	-0.528		3.825	24.28	21.155
1880	185444	-0.609		3.826	26.38	
1885	186296	-0.481		3.971	25.9	19.842
1890	187148	-0.614		3.72	25.39	
1895	188000	-0.469		4.089	26.45	20.798
1900	189160	-0.474		3.795	26.99	
1905	190320	-0.72		3.574	26.43	18.491
1910	191480	-1.017		3.286	26.27	
1915	192640	-0.625		2.914	25.75	18.881
1920	193800	-1.033		2.856	27.28	
1925	194960	-0.928		3.556	27.31	21.776
1930	196120	-0.856		3.212	28.66	
1935	197280	-0.899		2.878	27.89	24.415
1940	198440	-1.127		3.374	28.74	
1945	199600	-0.523		3.456	26.29	21.532
1948	200296	-0.536		3.571	27.03	
1952	201224	-0.462		3.394	25.47	21.945
1955	201920	-0.528		3.294	25.48	
1960	203080	-0.348		3.397	25.76	21.484
1965	204240	-0.429		3.506	24.96	
1970	205400	-0.416		3.142	25.3	22.825
1975	206560	-0.761		3.29	25.12	
1980	207720	-1.07		3.235	25.75	20.259
1985	208880	-1.008		3.191	24.77	
1990	210040	-0.828		3.022	26.47	26.562
1995	211200	-0.709		3.04	27.07	
2000	212360	-0.938		2.769	27.04	15.094
2005	213520	-1.069		2.731	26.54	
2010	214680	-1.225		2.623	26.41	19.6
2015	215840	-1.344		2.617	27.86	
2020	217000	-1.982		2.546	27.66	13.644
2025	219000	-0.611		2.985	26.55	
2030	221000	-0.97		3.56	27.25	16.137
2035	223000	-1.095		4.281	26.77	
2040	223593	-1.375		4.272	28.04	19.17
2045	224185	-0.663		4.135	27.31	
2050	224778	-0.569		4.227	26.24	19.32
2055	225370	-0.58		3.304	25.75	
2060	225963	-0.733		3.573	25.5	20.206
2065	226556	-0.972		4.09	26.26	
2070	227148	-0.428		4.132	26.34	24.631
2075	227741	-0.755			25.99	
2080	228333	-0.488		4.151	27.19	22.056
2085	228926	-0.687		4.064	25.7	
2090	229519	-0.319		4.2	26.7	16.745
2095	230111	-0.735		4.088	24.46	
2098	230467	-0.17		4.006	25.18	17.867
2102	230941	-0.784		3.976	25.58	
2105	231296	-0.918		4.072	25.8	22.242
2110	231889	-0.735		3.944	29.81	
2115	232481	-0.362		3.846	25.55	19.41
2120	233074	-0.702		3.931	25.5	
2125	233667	-0.707		3.866	26.57	25.89
2130	234259	-0.866		3.588	26.79	
2135	234852	-0.859		4.002	26.18	28.903
2140	235444	-0.807		3.933	26.75	
2145	236037	-1.264		3.777	27.41	28.468
2150	236630	-1.194		3.822	27.28	
2155	237222	-1.603		3.139	27.5	25.985
2160	237815	-1.099		2.7	28.81	
2165	238407	-1.812		3.004	30.3	18.657
2170	239000	-1.431		2.894	29.99	
