# DESCRIPTION:
# Reference: Zarriess, M; Mackensen, A (2010): The tropical rainbelt and productivity changes off northwest Africa: a 31,000-year high-resolution record. Marine Micropaleontology, 76(3-4), 76-91, https://doi.org/10.1016/j.marmicro.2010.06.001
# Reference: Zarriess, M et al. (2011): Bipolar seesaw in the northeastern tropical Atlantic during Heinrich stadials. Geophysical Research Letters, 38, L04706, https://doi.org/10.1029/2010GL046070
# Data from: https://doi.org/10.1594/PANGAEA.756401. Accessed 07 Jan 2023.
# Data from: https://doi.org/10.1594/PANGAEA.756437. Accessed 07 Jan 2023.
# Comment: The two time series combined in this file are out of sync by ~120 y at 31.1 ka BP.

Depth [m],Depth comp [mcd],Age [ka BP],Fe [cps],K [cps],Ti [cps]
3.93,4.08,33.21,39247,4311,
3.94,4.09,33.27,39708,4222,
3.95,4.1,33.32,40971,4401,
3.96,4.11,33.37,39776,4457,
3.97,4.12,33.42,42267,4457,
3.99,4.14,33.52,39656,4387,
4,4.15,33.57,35872,4126,
4.01,4.16,33.62,34403,3852,
4.02,4.17,33.68,37673,4164,
4.03,4.18,33.73,39036,4028,
4.04,4.19,33.78,38533,4050,
4.05,4.2,33.83,38018,3831,
4.06,4.21,33.88,39580,4214,
4.07,4.22,33.93,40706,3892,
4.08,4.23,33.98,37989,4036,
4.09,4.24,34.03,38920,4224,
4.1,4.25,34.08,36900,3990,
4.11,4.26,34.14,42749,4027,
4.12,4.27,34.19,42355,4121,
4.13,4.28,34.24,42132,4268,
4.14,4.29,34.29,40032,4440,
4.15,4.3,34.34,43357,4447,
4.16,4.31,34.39,40296,4560,
4.17,4.32,34.44,43444,4376,
4.18,4.33,34.49,41520,4536,
4.19,4.34,34.55,41840,4442,
4.2,4.35,34.6,40050,4500,
4.21,4.36,34.65,40551,4371,
4.22,4.37,34.7,38963,4532,
4.23,4.38,34.75,40358,4439,
4.24,4.39,34.8,40941,4771,
4.25,4.4,34.85,39093,4752,
4.26,4.41,34.9,37869,4570,
4.27,4.42,34.95,39258,4649,
4.28,4.43,35.01,45358,4386,
4.29,4.44,35.06,37893,4292,
4.3,4.45,35.11,39169,4430,
4.31,4.46,35.16,41126,4410,
4.32,4.47,35.21,39638,4179,
4.33,4.48,35.26,40308,4536,
4.34,4.49,35.31,39280,4390,
4.35,4.5,35.36,41448,4545,
4.36,4.51,35.42,39459,4537,
4.37,4.52,35.47,43050,4532,
4.38,4.53,35.52,40653,4722,
4.39,4.54,35.57,40889,4567,
4.4,4.55,35.62,42506,4528,
4.41,4.56,35.67,42262,4810,
4.42,4.57,35.72,41772,4549,
4.43,4.58,35.77,41457,4581,
4.44,4.59,35.83,41697,4785,
4.45,4.6,35.88,41731,4328,
4.46,4.61,35.93,39957,4266,
4.47,4.62,35.98,41267,4693,
4.48,4.63,36.03,38480,4701,
4.49,4.64,36.08,40197,3869,
4.5,4.65,36.13,40382,4381,
4.51,4.66,36.18,39461,4303,
4.52,4.67,36.23,40484,4412,
4.53,4.68,36.29,38532,4433,
4.54,4.69,36.34,41434,4052,
4.55,4.7,36.39,40644,4258,
4.56,4.71,36.44,42219,4273,
4.57,4.72,36.49,42002,4287,
4.58,4.73,36.54,39649,4506,
4.59,4.74,36.59,39379,4619,
4.6,4.75,36.64,41574,4271,
4.61,4.76,36.7,38907,4527,
4.62,4.77,36.75,38661,4247,
4.63,4.78,36.8,40871,4244,
4.64,4.79,36.85,40401,4103,
4.65,4.8,36.9,40965,4478,
4.66,4.81,36.95,42051,4437,
4.67,4.82,37,38326,4316,
4.69,4.84,37.1,39179,4308,
4.7,4.85,37.16,38517,4268,
4.71,4.86,37.21,39703,4505,
4.72,4.87,37.26,45891,4178,
4.73,4.88,37.31,42875,4305,
4.74,4.89,37.36,41108,4324,
4.75,4.9,37.41,40545,4072,
4.76,4.91,37.46,40269,4263,
4.77,4.92,37.51,42783,4417,
4.78,4.93,37.57,44781,3991,
4.79,4.94,37.62,42316,4274,
4.8,4.95,37.67,41905,4104,
4.81,4.96,37.72,42901,4207,
4.82,4.97,37.77,44640,4471,
4.83,4.98,37.82,40244,4283,
4.84,4.99,37.87,39754,4432,
4.85,5,37.92,39028,4296,
4.86,5.01,37.97,43064,4423,
4.87,5.02,38.03,44141,4399,
4.88,5.03,38.08,47537,4588,
4.89,5.04,38.13,43312,4474,
4.9,5.05,38.18,41148,4813,
4.91,5.06,38.23,41099,4792,
4.92,5.07,38.28,41656,4692,
4.93,5.08,38.33,41816,4309,
4.94,5.09,38.38,39935,4496,
4.95,5.1,38.44,40181,4238,
4.96,5.11,38.49,39832,4637,
4.97,5.12,38.54,41633,4478,
4.99,5.14,38.64,39574,4455,
5,5.15,38.69,42757,4574,
5.01,5.16,38.74,37767,4897,
5.02,5.17,38.79,38249,4868,
5.03,5.18,38.85,38460,4962,
5.04,5.19,38.9,35755,4713,
5.05,5.2,38.95,34897,5100,
5.06,5.21,39,34218,5145,
5.07,5.22,39.05,35257,5091,
5.08,5.23,39.1,34034,5145,
5.09,5.24,39.15,34195,4920,
5.1,5.25,39.2,34037,5486,
5.11,5.26,39.27,35930,5350,
5.12,5.27,39.34,34529,5262,
