# DESCRIPTION:
# Reference: S.O. Rasmussen, P.M. Abbott, T. Blunier, A.J. Bourne, E. Brook, S.L. Buchardt, C. Buizert, J. Chappellaz, H.B. Clausen, E. Cook, D. Dahl-Jensen, S.M. Davies, M. Guillevic, S. Kipfstuhl, T. Laepple, I.K. Seierstad, J.P. Severinghaus, J.P. Steffensen, C. Stowasser, A. Svensson, P. Vallelonga, B.M. Vinther, F. Wilhelms, and M. Winstrup (2013): A first chronology for the North Greenland Eemian Ice Drilling (NEEM) ice core. Clim. Past, 9, 2713–2730, https://doi.org/10.5194/cp-9-2713-2013.
# Data from: https://www.iceandclimate.nbi.ku.dk/data/. Accessed 07 Jan 2023.
# Comment: Years were converted to kyr.
# Comment: Several variables from the original dataset are not included here.

NEEM depth [m],Age of ice [ka b2k],Age of gas [ka b2k],d15N [‰]
667.7,3.454,3276.69,0.28
668.62,3.459,3281.82,0.29
669.35,3.464,3287.07,0.3
670.27,3.469,3292.24,0.29
671,3.474,3297.33,0.28
671.69,3.479,3302.3,0.27
672.47,3.484,3307.16,0.27
673.2,3.489,3312.04,0.27
674.03,3.494,3317.08,0.27
674.85,3.499,3322.07,0.27
675.68,3.504,3326.96,0.27
676.36,3.509,3331.65,0.27
677.05,3.514,3336.34,0.28
677.74,3.519,3340.86,0.28
678.52,3.524,3345.44,0.28
679.25,3.529,3350.06,0.29
680.08,3.534,3354.97,0.29
680.76,3.539,3359.71,0.29
681.56,3.544,3364.71,0.29
682.18,3.549,3369.68,0.29
683.1,3.554,3374.54,0.29
683.93,3.559,3379.46,0.28
684.61,3.564,3384.44,0.28
685.3,3.569,3389.21,0.28
686.13,3.574,3394.06,0.28
686.95,3.579,3398.95,0.28
687.68,3.584,3403.74,0.27
688.38,3.589,3408.49,0.27
689.01,3.594,3413.15,0.28
689.84,3.599,3417.74,0.29
690.53,3.604,3422.53,0.29
691.21,3.609,3427.44,0.28
692.04,3.614,3432.26,0.27
692.82,3.619,3437.21,0.27
693.55,3.624,3442.31,0.28
694.38,3.629,3447.4,0.29
695.2,3.634,3452.53,0.29
695.89,3.639,3457.93,0.29
696.67,3.644,3463.4,0.29
697.58,3.649,3468.74,0.29
698.5,3.654,3474.21,0.28
699.19,3.659,3479.62,0.27
699.97,3.664,3484.9,0.27
700.7,3.669,3490.06,0.27
701.62,3.674,3495.12,0.26
702.35,3.679,3500,0.26
702.9,3.684,3504.94,0.27
703.67,3.689,3509.94,0.27
704.37,3.694,3514.98,0.28
705.24,3.699,3520.16,0.28
706.02,3.704,3525.54,0.29
706.75,3.709,3530.86,0.29
707.67,3.714,3536.1,0.29
708.4,3.719,3541.43,0.29
709.13,3.724,3546.66,0.28
709.91,3.729,3551.91,0.28
710.6,3.734,3557.23,0.26
711.43,3.739,3562.42,0.26
712.25,3.744,3567.47,0.25
