/* DESCRIPTION:
Reference:	Hendy, I.L., J.P. Kennett, E.B. Roark, and B.L. Ingram.  2002. Apparent synchroneity of submillennial scale climate events between Greenland and Santa Barbara Basin, California from 30–10 ka. Quaternary Science Reviews, Vol. 21, Issue 10, pp. 1167-1184, May 2002. doi:10.1016/S0277-3791(01)00138-X.
	Hendy, I.L., and J.P. Kennett. 2003. Tropical forcing of North Pacific intermediate water distribution during Late Quaternary rapid climate change? Quaternary Science Reviews, Vol. 22, Issues 5-7, pp. 673-689. doi:10.1016/S0277-3791(02)00186-5.
Data from:	https://www.ncei.noaa.gov/access/paleo-search/study/5830. Accessed 11 Nov 2022.
	https://www.ncei.noaa.gov/access/paleo-search/study/5829. Accessed 11 Nov 2022.
Comment:	Several variables from the original datasets are not included here.
*/
Age [ka] vs. 2000AD	N. pachyderma d18O	N. pachyderma d13C	G. bulloides d18O	G. bulloides d13C	benthic d18O
29.91	2.515	0.021	2.608	-0.731	3.524
29.973	2.511	-0.132	2.355	-0.707	3.524
30.015	2.377	0.015	2.489	-0.636	3.537
30.056	2.511	-0.081	1.879	-1.067	
30.14	2.328	-0.053	2.572	-0.887	3.582
30.213	2.379	-0.13			3.539
30.265	2.525	-0.113	2.753	-0.61	3.451
30.348	2.137	-0.253	2.292	-0.895	3.323
30.411	2.417	-0.099	2.619	-0.668	3.647
30.494	2.499	-0.108	2.434	-0.817	3.643
30.567	2.39	-0.016	2.724	-0.656	3.692
30.599	2.364	-0.102	2.623	-0.651	
30.63	2.533	0.024	2.725	-0.604	3.633
30.703	2.388	-0.144	2.599	-0.595	3.487
30.776	2.491	0.031	2.538	-0.595	3.677
30.86	2.194	-0.012	2.529	-0.644	3.471
30.901	2.348	-0.427	2.618	-0.673	3.479
30.922	2.219	-0.237	2.715	-0.569	3.426
30.995	2.418	-0.027	2.428	-0.561	3.589
31.068	2.483	-0.0905	2.5805	-0.645	3.564
31.141	2.306	-0.017	2.546	-0.563	3.571
31.225	1.855	-0.107	2.358	-0.661	3.545
31.277	2.435	0.042	2.593	-0.382	
31.318	2.427	0.149	2.614	-0.366	3.66
31.412	2.326	0.008	2.41	-0.571	3.582
31.475	2.019	-0.17	2.102	-0.88	3.454
31.527	2.339	0.05	2.377	-0.448	3.663
31.6	2.303	0.076	1.904	-0.479	3.647
31.67	1.938	-0.168	1.305	-0.791	3.645
31.704	2.083	-0.075	1.323	-0.942	3.236
31.774	2.038	0.139	1.274	-0.732	
31.791					3.535
31.835	2.181	0.07	1.468	-0.622	3.689
31.904	2.1	0.003	1.339	-0.649	3.698
31.965	1.699	0.039	1.166	-0.902	3.38
32.035	1.831	0.096	1.273	-0.821	3.575
32.096	1.759	0.05	0.976	-1.021	3.267
32.287	1.884	0.126	1.229	-0.947	3.516
32.33	2.028	0.164	1.446	-1	3.491
32.4	2.12	0.103	1.505	-0.78	3.536
32.431	2.335	0.145	2.431	-0.583	3.565
32.457	2.403	0.021	2.308	-0.908	3.607
32.479	2.297	-0.067	2.411	-0.611	3.331
32.488	2.323	-0.1865	2.611	-0.781	3.527
32.518	2.5	-0.285	2.655	-0.61	3.642
32.549	2.474	-0.007	2.435	-0.895	3.649
32.584	2.425	-0.03	2.612	-0.688	3.631
32.623	2.12	0.106	2.42	-0.757	3.418
32.654	2.423	-0.044	2.581	-0.719	3.499
32.685	2.375	-0.026	2.544	-0.83	3.489
32.715	2.055	-0.152	2.588	-0.626	3.277
