/* DESCRIPTION:
Reference:	Yang, S., & Ding, Z. (2014). A 249 kyr stack of eight loess grain size records from northern China documenting millennial‐scale climate variability. Geochemistry, Geophysics, Geosystems, 15(3), 798-814, https://doi.org/10.1002/2013GC005113
Data from:	https://doi.org/10.1002/2013GC005113. Accessed 22 Nov 2022.
Comment:	Data was not modified in any way.
*/
Age [ka]	Grain Size
233	-0.44424
233.2	-0.4229
233.4	-0.44576
233.6	-0.4635
233.8	-0.48565
234	-0.52143
234.2	-0.53953
234.4	-0.50527
234.6	-0.51518
234.8	-0.5181
235	-0.48111
235.2	-0.48777
235.4	-0.53963
235.6	-0.58646
235.8	-0.62888
236	-0.54306
236.2	-0.44473
236.4	-0.38039
236.6	-0.36289
236.8	-0.33246
237	-0.19964
237.2	-0.08458
237.4	-0.03285
237.6	0.04545
237.8	0.1688
238	0.26723
238.2	0.26753
238.4	0.28835
238.6	0.42872
238.8	0.5044
239	0.5004
239.2	0.45262
239.4	0.41225
239.6	0.40313
239.8	0.38612
240	0.3441
240.2	0.33909
240.4	0.35103
240.6	0.34065
240.8	0.33335
241	0.3126
241.2	0.3097
241.4	0.30445
241.6	0.26658
241.8	0.23866
242	0.2177
242.2	0.19295
242.4	0.1741
242.6	0.14334
242.8	0.12675
243	0.12706
243.2	0.10896
243.4	0.10441
243.6	0.10478
243.8	0.11452
244	0.10265
244.2	0.0913
244.4	0.08303
244.6	0.06981
244.8	0.07284
245	0.11048
245.2	0.11839
245.4	0.11736
245.6	0.14393
245.8	0.13603
246	0.15189
246.2	0.13052
246.4	0.10169
246.6	0.11595
246.8	0.12925
247	0.09973
247.2	0.09411
247.4	0.11353
247.6	0.06561
247.8	0.03114
248	0.00881
248.2	-0.01674
248.4	-0.03028
248.6	-0.03157
248.8	-0.05778
249	-0.09317
