/* DESCRIPTION:
Reference:	Voelker, AHL; de Abreu, L (2011): A Review of Abrupt Climate Change Events in the Northeastern Atlantic Ocean (Iberian Margin): Latitudinal, Longitudinal and Vertical Gradients. In: Rashid, H; Polyak, L; Mosley-Thompson, E (eds.), Abrupt Climate Change: Mechanisms, Patterns, and Impacts. Geophysical Monograph Series (AGU, Washington D.C.), 193, 15-37, https://doi.org/10.1029/2010GM001021
Data from:	https://doi.org/10.1594/PANGAEA.737142. Accessed 11 Nov 2022.
Comment:	Summer SST is SST for months 7-9.
	Several variables from the original dataset are not included here.
*/
Depth [m]	Age [ka BP]	PO4 [%] (Modern analog technique (MAT)...)	summer SST [°C] (Modern analog technique (MAT)...)
20.54	181.419	6.4	10.2
20.57	181.888	7.3	16.6
20.6	182.356	10.5	15.5
20.63	182.825	12.2	17.9
20.66	183.294	8.6	13.3
20.69	183.762	10.7	16.1
20.72	184.231	6.8	10.6
20.75	184.7	6.8	14
20.78	185.169	8.5	17.5
20.81	185.637	7.6	11.7
20.84	186.106	8.5	13.8
20.87	186.575	10.6	15.6
20.9	187.043	10.8	15.8
20.93	187.429	10.7	15.9
20.96	187.815	10.1	15.5
20.98	188.072	10	14.9
21.02	188.586	10.1	15.5
21.05	188.971	10.5	15.3
21.08	189.357	10.6	15.4
21.11	189.743	10.2	15.2
21.14	190.128	9.4	14.3
21.17	190.514	10.2	15.3
21.2	190.9	10.6	15.4
21.23	191.285	11.6	17.6
21.26	191.671	10.6	15.5
21.29	192.056	11.4	17.8
21.32	192.442	10.5	15.7
21.35	192.946	10.1	15.2
21.38	193.45	10.2	15.3
21.41	193.954	11.3	17.4
21.44	194.457	13.7	18.5
21.47	194.961	11.9	17.7
21.5	195.465	11.4	17.5
21.53	195.969	10.6	15.8
21.56	196.473	13.8	18.8
21.59	196.977	13.2	18.5
21.62	197.481	12.5	18.9
21.65	197.985	13.5	19.3
21.68	198.488	15.8	19.2
21.71	198.992	12	18.4
21.74	199.496	10.3	17.8
21.77	200	10.8	16.8
21.8	201	10.6	15.4
21.83	202	14.2	19.2
21.86	203	12	17.8
21.89	204	10.9	15.8
21.92	205	11.1	16.6
21.95	205.441	14.1	19.2
21.98	205.882	11.4	17.5
22.01	206.324	11.1	16.8
22.04	206.765	11.8	17.7
22.1	207.647	11.8	16.5
22.13	208.088	13.6	18.2
22.16	208.529	12.4	17.8
22.19	208.971	12.8	18.3
22.22	209.412	13.5	18.3
22.25	209.853	13.8	18.3
22.28	210.294	14	18.5
22.34	211.176	14.4	19.2
22.37	211.618	13.5	18.6
22.4	212.059	14.1	19
22.43	212.5	13.6	18.7
22.46	212.941	14	19.1
22.49	213.382	14.6	19.2
22.52	213.824	14.1	19.3
22.55	214.265	13.7	19
22.58	214.706	16.1	19.3
22.61	215.147	14	18.9
22.64	215.588	14.9	19.5
22.67	216.029	15.1	19.1
22.7	216.471	13.6	18.9
22.73	216.912	15.1	19
22.76	217.353	12.7	18.7
22.79	217.794	11.7	17.6
22.82	218.235	16.6	20.6
22.85	218.676	6.5	10.2
22.88	219.118	8.8	18.3
22.91	219.559	9.6	18.7
22.94	220	11.5	17.5
22.97	220.25	8.2	16.5
23	220.5	10.5	17.9
23.03	220.75	8.7	18.1
23.06	221	6.1	10.4
23.09	221.25	6	9.3
23.12	221.5	8.1	17.2
23.15	221.75	9.6	17.5
23.18	222	12.7	18.3
23.21	222.25	13	19.5
23.24	222.5	15.5	19.3
23.27	222.75	10.8	17.7
23.3	223	11.8	17.9
23.33	223.778	12.2	18.2
23.36	224.556	15	19
23.39	225.333	12.9	18.3
23.42	226.111	14.1	18.4
23.45	226.889	13.9	18.3
23.48	227.667	14.3	18.6
23.51	228.444	11.2	18.1
23.54	229.222	6.6	10.6
23.58	230.152	13.3	18.5
23.6	230.455	15.7	20.2
23.63	230.909	13.7	18.5
23.66	231.364	13.6	18.4
23.69	231.818	13.6	18.8
