# DESCRIPTION:
# Reference: Hai Cheng, Christoph Spötl, Sebastian F.M. Breitenbach, Ashish Sinha, Jasper A. Wassenburg, Klaus Peter Jochum, Denis Scholz, Xianglei Li, Liang Yi, Youbing Peng, Yanbin Lv, Pingzhong Zhang, Antonina Votintseva, Vadim Loginov, Youfeng Ning, Gayatri Kathayat and R. Lawrence Edwards. 2016. Climate variations of Central Asia on orbital to millennial timescales. Scientific Reports, 5, 36975. doi: 10.1038/srep36975.
# Data from: https://www.ncdc.noaa.gov/paleo/study/21350. Accessed 07 Jan 2023.
# Comment: Years were converted to kyr.
# Comment: Empty data points were removed.

Depth [mm],Age [ka BP],d13C [per mil VPDB],d18O [per mil VPDB],Sr/Ca,S/Ca [per mil VPDB]
255.9,113.916,2.03,-3.85,0.00122,0.00059
256,113.923,1.93,-3.95,NaN,NaN
256.1,113.93,1.87,-3.94,0.00121,0.00058
256.2,113.937,2.04,-3.87,NaN,NaN
256.3,113.944,1.91,-3.96,0.00119,0.00055
256.4,113.951,2.03,-4.02,NaN,NaN
256.5,113.958,2.01,-3.97,0.00125,0.00052
256.6,113.965,2.03,-3.9,NaN,NaN
256.7,113.972,2.03,-3.98,0.0012,0.00073
256.8,113.979,2.1,-3.95,NaN,NaN
256.9,113.986,2.11,-4.03,0.00113,0.00053
257,113.993,2.16,-3.91,NaN,NaN
257.1,114,2.15,-3.87,0.00115,0.00051
257.2,114.007,2.02,-3.91,NaN,NaN
257.3,114.014,1.95,-3.94,0.00113,0.00054
257.4,114.021,1.99,-4.02,NaN,NaN
257.5,114.028,1.83,-4.05,0.00116,0.00058
257.6,114.035,1.91,-3.93,NaN,NaN
257.7,114.042,1.82,-4.07,0.00126,0.00059
257.8,114.049,1.85,-3.91,NaN,NaN
257.9,114.056,1.78,-3.75,0.00128,0.00067
258,114.063,1.74,-3.67,NaN,NaN
258.1,114.07,1.63,-3.63,0.00126,0.00067
258.2,114.077,1.6,-3.61,NaN,NaN
258.3,114.084,1.55,-3.63,0.00119,0.00055
258.4,114.091,1.61,-3.62,NaN,NaN
258.5,114.098,1.46,-3.72,0.00128,0.00049
258.6,114.105,1.24,-3.94,NaN,NaN
258.7,114.112,1.21,-3.93,0.0012,0.00065
258.8,114.118,1.3,-3.85,NaN,NaN
258.9,114.125,1.45,-3.9,0.00135,0.00072
259,114.132,1.5,-3.98,NaN,NaN
259.1,114.139,1.5,-4.09,0.00133,0.00072
259.2,114.146,1.5,-4.1,NaN,NaN
259.3,114.153,1.59,-4.13,0.00125,0.0007
259.4,114.16,1.58,-4.05,NaN,NaN
259.5,114.167,1.56,-4.04,0.00126,0.0009
259.6,114.174,1.68,-3.9,NaN,NaN
259.7,114.181,1.66,-3.96,0.00118,0.00063
259.8,114.188,1.72,-4,NaN,NaN
259.9,114.195,1.68,-4.07,0.00126,0.0005
260,114.202,1.76,-4.03,NaN,NaN
260.1,114.209,1.71,-4.07,0.00118,0.00049
260.2,114.216,1.8,-3.98,NaN,NaN
260.3,114.223,1.76,-3.93,0.00125,0.00059
260.4,114.23,1.82,-3.86,NaN,NaN
260.5,114.237,1.85,-3.83,0.00127,0.00064
260.6,114.244,1.82,-3.8,NaN,NaN
260.7,114.251,1.95,-3.74,0.00124,0.00058
260.8,114.258,1.95,-3.76,NaN,NaN
260.9,114.265,1.91,-3.8,0.00129,0.00063
261,114.272,1.97,-3.89,NaN,NaN
261.1,114.279,1.89,-3.9,0.00122,0.00051
261.2,114.286,1.85,-3.85,NaN,NaN
261.3,114.293,1.96,-3.72,0.00127,0.00058
261.4,114.3,1.98,-3.65,NaN,NaN
261.5,114.307,1.93,-3.63,0.00127,0.00047
261.6,114.314,2.06,-3.51,NaN,NaN
261.7,114.321,2.07,-3.73,0.00129,0.00076
261.8,114.328,2.09,-3.78,NaN,NaN
261.9,114.335,2.09,-3.84,0.00121,0.00056
262,114.341,2.08,-3.8,NaN,NaN
262.1,114.348,2.03,-3.89,0.00128,0.00056
262.2,114.355,2.01,-4.05,NaN,NaN
262.3,114.362,2.11,-3.91,0.00125,0.00052
262.4,114.369,2.12,-3.86,NaN,NaN
262.5,114.376,2.16,-3.82,0.00126,0.00064
262.6,114.383,2.12,-3.94,NaN,NaN
262.7,114.39,2.27,-3.87,0.00116,0.00041
262.8,114.397,2.35,-3.9,NaN,NaN
262.9,114.404,2.31,-3.94,0.00115,0.00045
263,114.411,2.13,-3.94,NaN,NaN
263.1,114.418,2.35,-3.81,0.00121,0.00044
263.2,114.425,2.22,-3.91,NaN,NaN
263.3,114.432,2.31,-3.88,0.00116,0.00059
263.4,114.439,2.32,-3.84,NaN,NaN
263.5,114.446,2.38,-3.73,0.0012,0.0004
263.6,114.453,2.2,-3.91,NaN,NaN
263.7,114.46,2.34,-3.76,0.00118,0.00055
263.8,114.467,2.24,-3.94,NaN,NaN
263.9,114.474,2.31,-3.82,0.00113,0.00053
264,114.481,2.19,-3.97,NaN,NaN
264.1,114.488,2.1,-3.94,0.00114,0.00048
264.2,114.495,2.12,-3.97,NaN,NaN
264.3,114.502,2.16,-3.97,0.00119,0.00046
264.4,114.509,2.06,-4.09,NaN,NaN
264.5,114.516,2,-4.03,0.00116,0.00053
264.6,114.523,2.07,-4.02,NaN,NaN
264.7,114.53,2.07,-3.98,0.00111,0.00045
264.8,114.537,2.05,-3.98,NaN,NaN
264.9,114.544,2.06,-3.96,0.00119,0.00044
265,114.551,2.03,-3.96,NaN,NaN
265.1,114.558,2.06,-3.93,0.00112,0.00047
265.2,114.564,2.03,-3.94,NaN,NaN
265.3,114.571,1.97,-3.97,0.00115,0.00037
265.4,114.578,1.94,-4.06,NaN,NaN
265.5,114.585,1.89,-4.13,0.00113,0.00039
265.6,114.592,2,-4.08,NaN,NaN
265.7,114.599,2.03,-3.89,0.00112,0.00047
265.8,114.606,2.1,-3.84,NaN,NaN
265.9,114.613,2.07,-3.91,0.00123,0.00045
266,114.62,2.25,-3.6,NaN,NaN
266.1,114.627,2.14,-3.64,0.00133,0.00061
266.2,114.634,2.12,-3.67,NaN,NaN
266.3,114.641,2.07,-3.75,0.00137,0.00059
266.4,114.648,2.16,-3.68,NaN,NaN
266.5,114.655,2.09,-3.78,0.00129,0.00058
266.6,114.662,2.14,-3.77,NaN,NaN
266.7,114.669,2.1,-3.66,0.00134,0.00063
266.8,114.676,2,-3.53,NaN,NaN
266.9,114.683,1.95,-3.5,0.00142,0.00066
267,114.69,1.94,-3.47,NaN,NaN
267.1,114.697,2.14,-3.42,0.00139,0.00062
267.2,114.704,2.05,-3.52,NaN,NaN
267.3,114.711,2,-3.53,0.00147,0.00069
267.4,114.718,1.92,-3.54,NaN,NaN
267.5,114.725,2.03,-3.58,0.00141,0.00065
267.6,114.732,2.02,-3.69,NaN,NaN
267.7,114.739,2.05,-3.68,0.00138,0.00067
267.8,114.746,2.17,-3.62,NaN,NaN
267.9,114.753,2.33,-3.52,0.00143,0.00066
268,114.76,2.38,-3.4,NaN,NaN
268.1,114.767,2.5,-3.38,0.00139,0.00064
268.2,114.774,2.44,-3.52,NaN,NaN
268.3,114.781,2.36,-3.55,0.0014,0.00069
268.4,114.787,2.36,-3.53,NaN,NaN
268.5,114.794,2.36,-3.68,0.00127,0.00061
268.6,114.801,2.24,-3.77,NaN,NaN
268.7,114.808,2.14,-3.8,0.0013,0.00057
268.8,114.815,2.11,-3.82,NaN,NaN
268.9,114.822,2.19,-3.89,0.0013,0.00067
269,114.829,2.22,-3.86,NaN,NaN
269.1,114.836,2.26,-3.79,0.00127,0.00062
269.2,114.843,2.19,-3.85,NaN,NaN
269.3,114.85,2.28,-3.72,0.00138,0.00074
269.4,114.857,2.27,-3.72,NaN,NaN
269.5,114.864,2.37,-3.63,0.00139,0.00059
269.6,114.871,2.47,-3.63,NaN,NaN
269.7,114.878,2.44,-3.48,0.00136,0.00062
269.8,114.885,2.4,-3.57,NaN,NaN
269.9,114.892,2.54,-3.44,0.00136,0.00061
270,114.899,2.55,-3.52,NaN,NaN
270.1,114.906,2.63,-3.46,0.00143,0.00073
270.2,114.913,2.71,-3.5,NaN,NaN
270.3,114.92,2.6,-3.39,0.00144,0.00074
270.4,114.927,2.55,-3.41,NaN,NaN
270.5,114.934,2.56,-3.45,0.00146,0.0007
270.6,114.941,2.57,-3.51,NaN,NaN
270.7,114.948,2.63,-3.46,0.00144,0.00072
270.8,114.955,2.54,-3.45,NaN,NaN
270.9,114.962,2.51,-3.67,0.00141,0.00063
271,114.969,2.42,-3.58,NaN,NaN
271.1,114.976,2.51,-3.64,0.00142,0.00066
271.2,114.983,2.59,-3.5,NaN,NaN
271.3,114.99,2.59,-3.43,0.0014,0.00068
271.4,114.997,2.42,-3.47,NaN,NaN
271.5,115.004,2.28,-3.6,0.00129,0.00058
271.6,115.01,2.23,-3.64,NaN,NaN
271.7,115.017,2.15,-3.71,0.00135,0.00057
271.8,115.024,2.15,-3.56,NaN,NaN
271.9,115.031,2.16,-3.56,0.00138,0.00063
272,115.038,2.11,-3.75,NaN,NaN
272.1,115.045,2.47,-3.5,0.00129,0.0006
272.2,115.052,2.77,-3.2,NaN,NaN
272.3,115.059,2.54,-3.39,0.00147,0.0007
272.4,115.066,2.48,-3.36,NaN,NaN
272.5,115.073,2.23,-3.51,0.00143,0.00063
272.6,115.08,2.35,-3.47,NaN,NaN
272.7,115.087,2.62,-3.22,0.00141,0.00067
272.8,115.094,2.56,-3.16,NaN,NaN
272.9,115.101,2.48,-3.21,0.00152,0.00061
273,115.108,2.51,-3.27,NaN,NaN
273.1,115.115,2.55,-3.28,0.0014,0.00073
273.2,115.122,2.62,-3.31,NaN,NaN
273.3,115.129,2.68,-3.42,0.00142,0.00067
273.4,115.136,2.68,-3.42,NaN,NaN
273.5,115.143,2.72,-3.53,0.00139,0.00059
273.6,115.15,2.66,-3.69,NaN,NaN
273.7,115.157,2.68,-3.47,0.00123,0.00056
273.8,115.164,2.62,-3.54,NaN,NaN
273.9,115.171,2.63,-3.61,0.00129,0.00062
274,115.178,2.55,-3.63,NaN,NaN
274.1,115.185,2.51,-3.74,0.0013,0.00063
274.2,115.192,2.49,-3.7,NaN,NaN
274.3,115.199,2.65,-3.58,0.00122,0.00061
274.4,115.206,2.82,-3.49,NaN,NaN
274.5,115.213,2.75,-3.6,0.00129,0.00068
274.6,115.22,2.72,-3.71,NaN,NaN
274.7,115.227,2.61,-3.68,0.00131,0.0006
274.8,115.233,2.6,-3.68,NaN,NaN
274.9,115.24,2.63,-3.64,0.00137,0.00065
275,115.247,2.63,-3.59,NaN,NaN
275.1,115.254,2.56,-3.65,0.00123,0.00054
275.2,115.261,2.62,-3.61,NaN,NaN
275.3,115.268,2.57,-3.68,0.00131,0.00059
275.4,115.275,2.54,-3.76,NaN,NaN
275.5,115.282,2.6,-3.66,0.00131,0.00049
275.6,115.289,2.62,-3.75,NaN,NaN
275.7,115.296,2.6,-3.56,0.00132,0.00057
275.8,115.303,2.5,-3.67,NaN,NaN
275.9,115.31,2.61,-3.55,0.0013,0.00064
276,115.317,2.57,-3.66,NaN,NaN
276.1,115.324,2.46,-3.71,0.00124,0.00058
276.2,115.331,2.43,-3.76,NaN,NaN
276.3,115.338,2.56,-3.45,0.00119,0.00054
276.4,115.345,2.62,-3.3,NaN,NaN
276.5,115.352,2.81,-3.4,0.00124,0.00058
276.6,115.359,2.74,-3.42,NaN,NaN
276.7,115.366,2.68,-3.4,0.00134,0.00066
276.8,115.373,2.4,-3.56,NaN,NaN
276.9,115.38,2.41,-3.45,0.00127,0.00054
277,115.387,2.43,-3.42,NaN,NaN
277.1,115.394,2.36,-3.34,0.00131,0.00065
277.2,115.401,2.29,-3.26,NaN,NaN
277.3,115.408,2.28,-3.04,0.00125,0.00059
277.4,115.415,2.28,-3.18,NaN,NaN
277.5,115.422,2.42,-3.23,0.00134,0.00061
277.6,115.429,2.65,-3.13,NaN,NaN
277.7,115.436,2.56,-3.24,0.00134,0.00065
277.8,115.443,2.4,-3.24,NaN,NaN
277.9,115.45,2.55,-3.23,0.00128,0.00065
278,115.456,2.52,-3.16,NaN,NaN
278.1,115.463,2.54,-3.19,0.00125,0.0006
278.2,115.47,2.52,-3.31,NaN,NaN
278.3,115.477,2.48,-3.32,0.00132,0.00059
278.4,115.484,2.55,-3.28,NaN,NaN
278.5,115.491,2.41,-3.4,0.00122,0.00056
278.6,115.498,2.43,-3.37,NaN,NaN
278.7,115.505,2.45,-3.38,0.00126,0.00054
278.8,115.512,2.49,-3.35,NaN,NaN
278.9,115.519,2.53,-3.44,0.00124,0.00059
279,115.526,2.44,-3.45,NaN,NaN
279.1,115.533,2.35,-3.43,0.00121,0.00059
279.2,115.54,2.08,-3.64,NaN,NaN
279.3,115.547,1.97,-3.75,0.00116,0.00053
279.4,115.554,2.03,-3.65,NaN,NaN
279.5,115.561,2.01,-3.7,0.00123,0.00062
279.6,115.568,1.99,-3.56,NaN,NaN
279.7,115.575,NaN,NaN,0.00119,0.00058
279.8,115.582,2.17,-3.32,NaN,NaN
279.9,115.589,2.2,-3.46,0.00124,0.00063
280,115.596,2.1,-3.39,NaN,NaN
280.1,115.603,1.94,-3.55,0.00122,0.00064
280.2,115.61,2.02,-3.49,NaN,NaN
280.3,115.617,2.02,-3.53,0.00122,0.00057
280.4,115.624,2.39,-3.32,NaN,NaN
280.5,115.631,2.38,-3.33,0.00124,0.00054
280.6,115.638,2.35,-3.33,NaN,NaN
280.7,115.645,2.23,-3.33,0.00119,0.00051
280.8,115.652,2.11,-3.34,NaN,NaN
280.9,115.659,1.91,-3.35,0.00118,0.0005
281,115.666,1.67,-3.58,NaN,NaN
281.1,115.673,1.53,-3.49,0.00117,0.00055
281.2,115.679,1.48,-3.46,NaN,NaN
281.3,115.686,1.59,-3.44,0.00121,0.00063
281.4,115.693,1.56,-3.55,NaN,NaN
281.5,115.7,1.51,-3.5,0.00123,0.00065
281.6,115.707,1.55,-3.61,NaN,NaN
281.7,115.714,1.45,-3.55,0.00122,0.00056
281.8,115.721,1.43,-3.68,NaN,NaN
281.9,115.728,1.42,-3.7,0.00122,0.00055
282,115.735,1.4,-3.8,NaN,NaN
282.1,115.742,1.29,-3.83,0.00117,0.00058
282.2,115.749,1.43,-3.86,NaN,NaN
282.3,115.756,1.52,-3.81,0.00124,0.00065
282.4,115.763,1.51,-3.83,NaN,NaN
282.5,115.77,1.46,-3.85,0.00116,0.00064
282.6,115.777,1.71,-3.7,NaN,NaN
282.7,115.784,1.81,-3.68,0.00117,0.00064
282.8,115.791,1.88,-3.76,NaN,NaN
282.9,115.798,1.93,-3.76,0.00109,0.00054
283,115.805,1.84,-3.87,NaN,NaN
283.1,115.812,1.91,-3.86,0.00109,0.00057
283.2,115.819,2.04,-3.65,NaN,NaN
283.3,115.826,1.86,-3.82,0.00116,0.00059
283.4,115.833,1.73,-3.87,NaN,NaN
283.5,115.84,2.04,-3.71,0.00105,0.00054
283.6,115.847,2.35,-3.56,NaN,NaN
283.7,115.854,2.33,-3.57,0.00113,0.00066
283.8,115.861,2.39,-3.47,NaN,NaN
283.9,115.868,2.41,-3.63,0.00108,0.0006
284,115.875,2.35,-3.51,NaN,NaN
284.1,115.882,2.21,-3.66,0.0011,0.00063
284.2,115.889,2.01,-3.86,NaN,NaN
284.3,115.896,1.98,-3.53,0.00104,0.0005
284.4,115.902,1.87,-3.73,NaN,NaN
284.5,115.909,2.2,-3.44,0.0011,0.00058
284.6,115.916,2.31,-3.32,NaN,NaN
284.7,115.923,2.28,-3.55,0.00103,0.00054
284.8,115.93,2.17,-3.53,NaN,NaN
284.9,115.937,2.03,-3.49,0.001,0.00057
285,115.944,1.96,-3.57,NaN,NaN
285.1,115.951,1.95,-3.49,0.00102,0.00047
285.2,115.958,1.64,-3.66,NaN,NaN
285.3,115.965,NaN,NaN,0.00101,0.00044
285.4,115.972,1.53,-3.64,NaN,NaN
285.5,115.979,1.43,-3.67,0.00103,0.00053
285.6,115.986,1.52,-3.76,NaN,NaN
285.7,115.993,1.69,-3.71,0.00102,0.00043
285.8,116,1.64,-3.72,NaN,NaN
285.9,116.007,1.63,-3.76,0.00103,0.00048
286,116.014,1.75,-3.64,NaN,NaN
286.1,116.021,1.81,-3.69,0.00114,0.00047
286.2,116.028,1.67,-3.74,NaN,NaN
286.3,116.035,1.71,-3.76,0.00117,0.0005
286.4,116.042,1.71,-3.71,NaN,NaN
286.5,116.049,1.67,-3.71,0.00117,0.00054
286.6,116.056,1.88,-3.55,NaN,NaN
286.7,116.063,1.94,-3.57,0.00115,0.00057
286.8,116.07,1.97,-3.58,NaN,NaN
286.9,116.077,2.03,-3.47,0.00113,0.00054
287,116.084,2.15,-3.56,NaN,NaN
287.1,116.091,2.13,-3.54,0.00116,0.0005
287.2,116.098,2.15,-3.53,NaN,NaN
287.3,116.105,2.11,-3.6,0.00115,0.00052
287.4,116.112,2,-3.7,NaN,NaN
287.5,116.119,1.79,-3.69,0.00113,0.0005
287.6,116.125,1.54,-3.58,NaN,NaN
287.7,116.132,1.26,-3.62,0.00108,0.00044
287.8,116.139,1.22,-3.61,NaN,NaN
287.9,116.146,1.33,-3.51,0.00111,0.00039
288,116.153,1.36,-3.72,NaN,NaN
288.1,116.16,1.45,-3.62,0.00114,0.00042
288.2,116.167,1.48,-3.76,NaN,NaN
288.3,116.174,1.57,-3.67,0.00109,0.00041
288.4,116.181,1.65,-3.65,NaN,NaN
288.5,116.188,1.61,-3.77,0.00112,0.0004
288.6,116.195,1.64,-3.69,NaN,NaN
288.7,116.202,1.67,-3.81,0.00114,0.00045
288.8,116.209,1.73,-3.69,NaN,NaN
288.9,116.216,1.91,-3.59,0.00113,0.00054
289,116.223,2.05,-3.5,NaN,NaN
289.1,116.23,2.1,-3.59,0.00104,0.00053
289.2,116.237,2.23,-3.61,NaN,NaN
289.3,116.244,2.29,-3.57,0.00105,0.00045
289.4,116.251,2.4,-3.47,NaN,NaN
289.5,116.258,2.33,-3.55,0.00102,0.00048
289.6,116.265,2.37,-3.63,NaN,NaN
289.7,116.272,2.26,-3.57,0.00104,0.00044
289.8,116.279,2.29,-3.59,NaN,NaN
289.9,116.286,2.14,-3.57,0.00108,0.00045
290,116.293,1.98,-3.56,NaN,NaN
290.1,116.3,1.83,-3.62,0.00108,0.00048
290.2,116.307,1.9,-3.67,NaN,NaN
290.3,116.314,1.71,-3.71,0.00102,0.00045
290.4,116.321,1.87,-3.73,NaN,NaN
290.5,116.328,1.9,-3.45,0.00107,0.00046
290.6,116.335,1.86,-3.54,NaN,NaN
290.7,116.342,2.03,-3.52,0.00112,0.00039
290.8,116.348,1.77,-3.47,NaN,NaN
290.9,116.355,NaN,NaN,0.00103,0.00049
291,116.362,1.67,-3.77,NaN,NaN
291.1,116.369,1.75,-3.56,0.00096,0.00029
291.2,116.376,1.67,-3.45,NaN,NaN
291.3,116.383,1.74,-3.35,0.00104,0.00034
291.4,116.39,1.71,-3.42,NaN,NaN
291.5,116.397,1.65,-3.41,0.00099,0.00041
291.6,116.404,1.55,-3.47,NaN,NaN
291.7,116.411,1.66,-3.5,0.00096,0.00038
291.8,116.418,1.63,-3.66,NaN,NaN
291.9,116.425,1.59,-3.54,0.00101,0.0004
292,116.432,1.42,-3.62,NaN,NaN
292.1,116.439,1.5,-3.67,0.00111,0.00046
292.2,116.446,1.69,-3.51,NaN,NaN
292.3,116.453,1.69,-3.52,0.0011,0.00053
292.4,116.46,1.8,-3.53,NaN,NaN
292.5,116.467,1.76,-3.49,0.001,0.00042
292.6,116.474,1.65,-3.57,NaN,NaN
292.7,116.481,1.73,-3.48,0.00106,0.00036
292.8,116.488,1.84,-3.56,NaN,NaN
292.9,116.495,1.82,-3.42,0.001,0.00039
293,116.502,1.94,-3.46,NaN,NaN
293.1,116.509,1.85,-3.53,0.00089,0.00039
293.2,116.516,1.72,-3.6,NaN,NaN
293.3,116.523,1.91,-3.48,0.001,0.00037
293.4,116.53,1.93,-3.46,NaN,NaN
293.5,116.537,1.88,-3.44,0.00095,0.0004
293.6,116.544,2.48,-3.29,NaN,NaN
293.7,116.551,2.66,-3.18,0.00095,0.00037
293.8,116.558,2.68,-3.23,NaN,NaN
293.9,116.565,2.18,-3.35,0.00091,0.00033
294,116.571,2.24,-3.38,NaN,NaN
294.1,116.578,2.09,-3.5,0.00096,0.00036
294.2,116.585,2.04,-3.52,NaN,NaN
294.3,116.592,2.04,-3.49,0.00091,0.00044
294.4,116.599,2.07,-3.47,NaN,NaN
294.5,116.606,NaN,NaN,0.00093,0.0004
294.6,116.613,1.92,-3.65,NaN,NaN
294.7,116.62,1.92,-3.62,0.00096,0.00036
294.8,116.627,1.99,-3.71,NaN,NaN
294.9,116.634,1.81,-3.71,0.00096,0.00046
295,116.641,2.01,-3.72,NaN,NaN
295.1,116.648,2.07,-3.77,0.0009,0.00033
295.2,116.655,2.11,-3.8,NaN,NaN
295.3,116.662,2.21,-3.75,0.00087,0.00034
295.4,116.669,2.3,-3.78,NaN,NaN
295.5,116.676,2.42,-3.64,0.00097,0.00037
295.6,116.683,2.42,-3.8,NaN,NaN
295.7,116.69,2.3,-3.72,0.00095,0.00041
295.8,116.697,2.25,-3.74,NaN,NaN
295.9,116.704,2.21,-3.69,0.00086,0.00037
296,116.711,2.27,-3.68,NaN,NaN
296.1,116.718,2.25,-3.69,0.00095,0.00037
296.2,116.725,2.13,-3.71,NaN,NaN
296.3,116.732,2.1,-3.77,0.001,0.00036
296.4,116.739,1.92,-3.75,NaN,NaN
296.5,116.746,1.99,-3.68,0.00097,0.00043
296.6,116.753,2.22,-3.73,NaN,NaN
296.7,116.76,2.36,-3.74,0.00096,0.00039
296.8,116.767,2.43,-3.74,NaN,NaN
296.9,116.774,2.3,-3.67,0.00093,0.00037
297,116.781,2.29,-3.82,NaN,NaN
297.1,116.788,2.08,-3.84,0.00096,0.00041
297.2,116.794,1.91,-4.02,NaN,NaN
297.3,116.801,1.74,-3.99,0.00094,0.0004
297.4,116.808,1.84,-4,NaN,NaN
297.5,116.815,2.1,-3.92,0.00093,0.00038
297.6,116.822,2.21,-3.8,NaN,NaN
297.7,116.829,2.55,-3.63,0.00081,0.0003
297.8,116.836,2.62,-3.57,NaN,NaN
297.9,116.843,2.4,-3.6,0.00091,0.00036
298,116.85,2.43,-3.55,NaN,NaN
298.1,116.857,2.09,-3.61,0.00092,0.00037
298.2,116.864,2,-3.49,NaN,NaN
298.3,116.871,1.99,-3.67,0.00088,0.00035
298.4,116.878,2.23,-3.36,NaN,NaN
298.5,116.885,2.33,-3.31,0.00087,0.0003
298.6,116.892,2.49,-3.4,NaN,NaN
298.7,116.899,2.63,-3.46,0.00093,0.00038
298.8,116.906,2.17,-3.73,NaN,NaN
298.9,116.913,2.32,-3.65,0.00096,0.00041
299,116.92,2.36,-3.48,0.00095,0.0002
299.1,116.927,2.37,-3.46,0.00094,0.00035
299.2,116.934,2.42,-3.46,0.00094,0.00028
299.3,116.941,2.27,-3.55,0.00087,0.00031
299.4,116.948,2.2,-3.54,0.001,0.00032
299.5,116.955,2.21,-3.37,0.00085,0.00033
299.6,116.962,2.23,-3.59,0.00086,0.00027
299.7,116.969,2.21,-3.58,0.00087,0.00038
299.8,116.976,2.38,-3.45,0.00092,0.00021
299.9,116.983,2.23,-3.63,0.00089,0.00031
300,116.99,2.68,-3.69,0.00089,0.00039
300.1,116.997,2.55,-3.69,0.00095,0.00042
300.2,117.004,2.23,-3.72,0.0008,0.00035
300.3,117.011,2.11,-3.71,NaN,NaN
300.4,117.017,2.22,-3.58,0.00078,0.00039
300.5,117.024,2.38,-3.57,NaN,NaN
300.6,117.031,2.56,-3.57,0.0007,0.00031
300.7,117.038,2.73,-3.39,NaN,NaN
300.8,117.045,2.77,-3.47,0.00079,0.00039
300.9,117.052,2.68,-3.6,NaN,NaN
301,117.059,2.87,-3.58,0.00084,0.00034
301.1,117.066,2.71,-3.71,NaN,NaN
301.2,117.073,2.78,-3.68,0.00093,0.00031
301.3,117.08,2.76,-3.7,NaN,NaN
301.4,117.087,2.73,-3.76,0.00092,0.00028
301.5,117.094,2.84,-3.77,NaN,NaN
301.6,117.101,2.97,-3.8,0.00091,0.00029
301.7,117.108,2.82,-3.81,NaN,NaN
301.8,117.115,2.96,-3.87,0.00093,0.00028
301.9,117.122,2.76,-3.95,NaN,NaN
302,117.129,2.72,-3.93,0.00102,0.00034
302.1,117.136,2.55,-4.18,NaN,NaN
302.2,117.143,2.84,-4.35,0.00093,0.00032
302.3,117.15,3.26,-4.54,NaN,NaN
302.4,117.157,3.51,-4.68,0.00075,0.00034
302.5,122.933,3.8,-5.16,NaN,NaN
302.6,122.942,3.78,-5.68,0.00096,0.00041
302.7,122.952,3.59,-6.29,NaN,NaN
302.8,122.961,3.61,-6.63,0.001,0.00027
302.9,122.971,3.44,-7.14,NaN,NaN
303,122.98,3.47,-7.4,0.001,0.0005
303.1,122.99,3.43,-7.55,NaN,NaN
303.2,122.999,3.22,-7.71,0.00117,0.00042
303.3,123.009,3,-7.92,NaN,NaN
303.4,123.018,3.03,-7.94,0.00119,0.00044
303.5,123.027,2.92,-7.96,NaN,NaN
303.6,123.037,2.89,-8,0.00121,0.00042
303.7,123.046,2.75,-8.18,NaN,NaN
303.8,123.056,2.74,-8.13,0.00113,0.00045
303.9,123.065,2.86,-8.12,NaN,NaN
304,123.075,3.04,-8.13,0.00121,0.0005
304.1,123.084,2.88,-8.26,NaN,NaN
304.2,123.094,2.77,-8.29,0.00113,0.00049
304.3,123.103,2.58,-8.5,NaN,NaN
304.4,123.113,2.6,-8.36,0.00121,0.00048
304.5,123.122,2.71,-8.33,NaN,NaN
304.6,123.131,2.71,-8.41,0.00135,0.0005
304.7,123.141,2.85,-8.38,NaN,NaN
304.8,123.15,2.99,-8.6,0.00126,0.00048
304.9,123.16,2.93,-8.53,NaN,NaN
305,123.169,3.15,-8.33,0.00131,0.00048
305.1,123.179,3.01,-8.36,NaN,NaN
305.2,123.188,3.08,-8.31,0.00126,0.00051
305.3,123.198,3.12,-8.3,NaN,NaN
305.4,123.207,3.04,-8.35,0.00132,0.0004
305.5,123.217,2.95,-8.38,NaN,NaN
305.6,123.226,2.88,-8.39,0.00123,0.00054
305.7,123.235,2.83,-8.49,NaN,NaN
305.8,123.245,2.77,-8.51,0.00118,0.00048
306,123.264,2.69,-8.62,0.00131,0.00048
306.1,123.273,2.68,-8.58,NaN,NaN
306.2,123.283,2.52,-8.71,0.00128,0.0005
306.3,123.292,2.45,-8.72,NaN,NaN
306.4,123.302,2.43,-8.67,0.00135,0.00041
306.5,123.311,2.33,-8.79,NaN,NaN
306.6,123.32,2.34,-8.78,0.00125,0.00044
306.7,123.33,2.35,-8.8,NaN,NaN
306.8,123.339,2.36,-8.82,0.00116,0.00049
306.9,123.349,2.42,-8.76,NaN,NaN
307,123.358,2.45,-8.68,0.00114,0.00048
307.1,123.368,2.3,-8.66,NaN,NaN
307.2,123.377,2.19,-8.76,0.00107,0.00034
307.3,123.387,2.26,-8.58,NaN,NaN
307.4,123.396,2.15,-8.63,0.00097,0.00033
307.5,123.406,2.05,-8.8,NaN,NaN
307.6,123.415,2.05,-8.75,0.00096,0.00024
307.7,123.424,1.98,-8.85,NaN,NaN
307.8,123.434,2.06,-8.77,0.00097,0.0003
307.9,123.443,2.06,-8.69,NaN,NaN
308,123.453,2,-8.73,0.00103,0.00022
308.1,123.462,1.97,-8.72,NaN,NaN
308.2,123.472,1.98,-8.74,0.00119,0.00025
308.3,123.481,2.01,-8.7,NaN,NaN
308.4,123.491,1.86,-8.79,0.0013,0.00026
308.5,123.5,1.9,-8.82,NaN,NaN
308.6,123.51,1.95,-8.81,0.00117,0.00051
308.7,123.519,2.09,-8.76,NaN,NaN
