# DESCRIPTION:
# Reference: Hai Cheng, Christoph Spötl, Sebastian F.M. Breitenbach, Ashish Sinha, Jasper A. Wassenburg, Klaus Peter Jochum, Denis Scholz, Xianglei Li, Liang Yi, Youbing Peng, Yanbin Lv, Pingzhong Zhang, Antonina Votintseva, Vadim Loginov, Youfeng Ning, Gayatri Kathayat and R. Lawrence Edwards. 2016. Climate variations of Central Asia on orbital to millennial timescales. Scientific Reports, 5, 36975. doi: 10.1038/srep36975.
# Data from: https://www.ncdc.noaa.gov/paleo/study/21350. Accessed 07 Jan 2023.
# Comment: Years were converted to kyr.
# Comment: Empty data points were removed.

Depth [mm],Age [ka BP],d13C [per mil VPDB],d18O [per mil VPDB],Sr/Ca,S/Ca [per mil VPDB]
19.7,10.741,1.29,-7.65,NaN,NaN
19.8,10.752,1.31,-7.66,0.00115,0.00032
19.9,10.762,1.26,-7.65,NaN,NaN
20,10.772,1.08,-7.82,0.00097,0.00024
20.1,10.783,0.91,-8.07,NaN,NaN
20.2,10.793,0.86,-8.04,0.00114,0.00029
20.3,10.803,0.82,-8.16,NaN,NaN
20.4,10.813,0.48,-8,0.00098,0.00024
20.5,10.824,0.84,-8.04,NaN,NaN
20.6,10.834,0.93,-8.06,0.00114,0.00023
20.7,10.844,0.98,-8.01,NaN,NaN
20.8,10.855,0.77,-7.9,0.00089,0.00034
20.9,10.865,0.96,-7.83,NaN,NaN
21,10.875,0.9,-7.89,0.00102,0.00041
21.1,10.886,1,-7.84,NaN,NaN
21.2,10.896,1.05,-7.79,0.00102,0.00036
21.3,10.906,0.99,-7.92,NaN,NaN
21.4,10.917,0.89,-7.99,0.00104,0.00038
21.5,10.927,0.81,-8,NaN,NaN
21.6,10.937,0.76,-7.93,0.00106,0.00031
21.7,10.948,1.05,-7.84,NaN,NaN
21.8,10.958,1.08,-7.81,0.00099,0.00031
22,10.979,1.11,-7.85,0.00108,0.0004
22.1,10.989,1.16,-7.72,NaN,NaN
22.2,10.999,1.14,-7.72,0.00102,0.00031
22.3,11.01,1.17,-7.76,NaN,NaN
22.4,11.02,1.06,-7.7,0.00107,0.0004
22.5,11.03,1.01,-7.83,NaN,NaN
22.6,11.041,1.03,-7.67,0.00103,0.0004
22.7,11.051,0.93,-7.68,NaN,NaN
22.8,11.061,1.02,-7.51,0.00106,0.00046
22.9,11.072,1.12,-7.49,NaN,NaN
23,11.082,0.99,-7.51,0.00108,0.00035
23.1,11.092,1.04,-7.61,NaN,NaN
