# DESCRIPTION:
# Reference: Clemens, Steven; Yamamoto, Masanobu; Thirumalai, Kaustubh; Giosan, Liviu; Richey, Julie N.; Nilsson-Kerr, Katrina; Rosenthal, Yair; Anand, Pallavi; McGrath, Sarah M. 2021. Remote and Local Drivers of Pleistocene South Asian Summer Monsoon Precipitation: A Test for Future Predictions. Science Advances, 7(23), doi: 10.1126/sciadv.abg3848.
# Data from: https://www.ncei.noaa.gov/access/paleo-search/study/33213.
# Comment: Data was not modified in any way.

Age [ka BP],C. kullenbergi d18O [‰ PDB],C. kullenbergi d13C [‰ PDB]
50.971,3.2542,-0.52302
51.29,3.338,-0.45502
51.608,3.2943,-0.50343
51.697,3.2825,-0.39996
51.875,3.2594,-0.37939
51.964,3.2319,-0.42343
52.143,3.1467,-0.39232
52.321,3.034,-0.29609
52.41,3.0218,-0.22088
52.588,2.9653,-0.19165
52.677,2.9531,-0.15574
52.766,2.9488,-0.12593
52.855,2.9963,-0.12807
53.034,3.0598,-0.17887
53.123,3.0983,-0.19234
53.301,3.1141,-0.20263
53.479,3.0139,-0.22806
53.747,2.9569,-0.23432
54.551,3.2726,-0.44504
54.819,3.2562,-0.44715
55.087,3.2316,-0.45817
55.623,3.2441,-0.45827
55.891,3.2441,-0.45827
56.427,3.2369,-0.39981
56.695,3.2136,-0.39244
56.964,3.1844,-0.37928
57.232,3.0991,-0.34763
57.5,3.04,-0.32137
57.768,3.0186,-0.29946
58.036,3.036,-0.30104
58.572,3.1231,-0.39291
58.84,3.0534,-0.35159
59.108,3.005,-0.3408
59.376,2.9349,-0.26659
59.644,2.9242,-0.2055
59.912,2.8649,-0.1888
60.18,2.8453,-0.12881
60.587,2.9055,-0.10915
60.727,2.9149,-0.11061
60.866,2.9132,-0.11072
61.006,2.9332,-0.10609
61.145,2.9647,-0.0944
61.312,3.0347,-0.08618
61.452,3.058,-0.06908
61.591,3.1224,-0.08693
61.731,3.1539,-0.09103
61.87,3.1791,-0.15433
62.149,3.2876,-0.25242
62.288,3.32,-0.28063
62.428,3.32,-0.28063
62.567,3.3668,-0.27239
62.846,3.4151,-0.30237
62.985,3.4515,-0.31629
63.264,3.3974,-0.33231
63.404,3.3662,-0.33816
63.543,3.3582,-0.32274
63.646,3.3418,-0.31402
63.75,3.3384,-0.30971
63.853,3.3456,-0.31889
63.956,3.3331,-0.29063
64.06,3.3456,-0.26641
64.266,3.3464,-0.28978
64.37,3.3616,-0.28062
64.473,3.381,-0.28368
64.576,3.381,-0.28368
64.68,3.422,-0.28644
64.783,3.4508,-0.29777
64.99,3.4674,-0.26497
65.093,3.4846,-0.27604
65.196,3.4928,-0.27757
65.3,3.4938,-0.28555
65.403,3.4912,-0.29051
65.506,3.492,-0.29798
65.61,3.4759,-0.32863
65.894,3.4267,-0.36273
66.075,3.3903,-0.33012
66.256,3.3933,-0.29318
66.437,3.3497,-0.22507
66.618,3.3748,-0.24324
66.799,3.4458,-0.28244
66.98,3.5364,-0.35781
67.342,3.6419,-0.39213
67.522,3.5078,-0.49107
67.703,3.3928,-0.5229
67.884,3.3395,-0.56562
68.065,3.3502,-0.44329
68.246,3.3466,-0.43804
68.427,3.2543,-0.40313
68.608,3.2588,-0.36762
