# DESCRIPTION:
# Reference: Gina E. Moseley, R. Lawrence Edwards, Kathleen A. Wendt, Hai Cheng, Yuri Dublyansky, Yanbin Lu, Ronny Boch, Christoph Spötl. 2016. Reconciliation of the Devils Hole climate record with orbital forcing. Science, 351(6269), 165-168. doi: 10.1126/science.aad4132
# Data from: https://www.ncei.noaa.gov/access/paleo-search/study/19745. Accessed 22 Nov 2022.
# Comment: Years were converted to ka.
# Comment: Only Devils Hole #2 Core D Stable Isotope Data is included here.

Depth [mm],Age [ka BP],δ13C carb [‰ VPDB],δ18O carb [‰ VPDB]
95.8,105.049,-1.97,-15.94
95.7,105.129,-1.99,-16.1
95.6,105.21,-1.91,-15.98
95.5,105.289,-2.03,-16
95.4,105.369,-2.01,-16.02
95.3,105.449,-1.95,-15.99
95.2,105.529,-2,-16.01
95.1,105.609,-2.01,-15.98
95,105.688,-1.94,-16.05
94.9,105.768,-2.1,-16.04
94.8,105.848,-1.96,-15.96
94.7,105.928,-1.93,-16.04
94.6,106.008,-1.96,-15.96
94.5,106.088,-2.03,-16.13
94.4,106.168,-2.05,-16.08
94.3,106.248,-1.98,-16.13
94.2,106.328,-2.01,-16.07
94.1,106.408,-2.05,-16.07
94,106.488,-1.93,-16.11
93.9,106.568,-2.03,-16.07
93.8,106.648,-1.97,-16.04
93.7,106.728,-1.95,-16.1
93.6,106.808,-2.03,-16.06
93.5,106.889,-2.05,-16.15
93.4,106.971,-1.95,-16.14
93.3,107.053,-2.02,-16.17
93.2,107.134,-2.01,-16.13
93.1,107.216,-2.01,-16.19
93,107.298,-1.96,-16.1
92.9,107.402,-1.97,-16.1
92.8,107.507,-2.03,-16.09
92.7,107.611,-2.06,-16.12
92.6,107.716,-2.11,-16.18
92.5,107.819,-2.04,-16.11
92.4,107.923,-2.07,-16.13
92.3,108.027,-2.03,-16.02
92.2,108.131,-2.13,-16.21
92.1,108.235,-2.09,-16.21
92,108.338,-1.98,-16.05
91.9,108.442,-2.05,-16.22
91.8,108.546,-2.06,-16.05
91.7,108.65,-2.06,-16.12
91.6,108.754,-2.08,-16.12
91.5,108.857,-2.11,-16.12
91.4,108.961,-2.11,-16.17
91.3,109.065,-1.98,-16.2
91.2,109.168,-2.05,-16.16
91.1,109.272,-2.13,-16.31
91,109.376,-2.17,-16.27
90.9,109.479,-2.1,-16.26
90.8,109.583,-1.93,-16.3
90.7,109.687,-1.99,-16.29
90.6,109.791,-2.11,-16.24
90.5,109.894,-2.11,-16.31
90.4,109.998,-2.18,-16.36
90.3,110.102,-2.06,-16.11
90.2,110.206,-2.08,-16.2
90.1,110.31,-2,-16.27
90,110.413,-2.03,-16.22
89.9,110.517,-2.09,-16.08
89.8,110.621,-2.02,-16.12
89.7,110.725,-1.99,-16.18
89.6,110.829,-2.04,-16.2
89.5,110.933,-2.01,-16.26
89.4,111.038,-2.05,-16.21
89.3,111.143,-2.07,-16.08
89.2,111.248,-2.14,-16.22
89.1,111.353,-2.02,-16.17
89,111.458,-2.03,-16.13
88.9,111.512,-2.17,-16.26
88.8,111.567,-2.08,-16.16
88.7,111.622,-2.13,-16.14
88.6,111.677,-2.12,-16.16
88.5,111.733,-2.15,-16.11
88.4,111.79,-2.14,-16.1
88.3,111.847,-2.17,-16.24
88.2,111.903,-2.07,-16.2
88.1,111.96,-2,-16.14
88,112.017,-2.01,-16.14
87.9,112.073,-2,-16.09
87.8,112.13,-2.08,-16.09
87.7,112.187,-2.07,-16.1
87.6,112.244,-2.14,-16.12
87.5,112.299,-2.06,-15.95
87.4,112.355,-2.08,-16.06
87.3,112.411,-2,-16.01
87.2,112.466,-2.07,-16.02
87.1,112.522,-2.08,-16.05
87,112.578,-2.09,-16.11
86.9,112.633,-2.05,-16.02
86.8,112.689,-2.09,-16.07
86.7,112.745,-2.13,-16
86.6,112.801,-2.13,-16.06
86.5,112.857,-2.14,-15.96
86.4,112.913,-2.11,-15.96
86.3,112.969,-2.12,-16
86.2,113.025,-2.09,-15.98
86.1,113.081,-2.1,-15.97
86,113.137,-2.03,-15.87
85.9,113.193,-2.17,-16.03
85.8,113.249,-2.14,-15.96
85.7,113.305,-2.17,-16.05
85.6,113.361,-2.07,-15.98
85.5,113.417,-2.14,-15.92
85.4,113.473,-2.18,-15.93
85.3,113.529,-2.33,-16.08
85.2,113.585,-2.27,-16.02
85.1,113.641,-2.21,-15.96
85,113.697,-2.17,-15.88
84.9,113.753,-2.21,-15.89
84.8,113.809,-2.24,-15.96
84.7,113.865,-2.06,-15.59
84.6,113.921,-2.3,-16.05
84.5,113.977,-2.2,-15.78
84.4,114.033,-2.17,-15.85
84.3,114.089,-2.19,-15.81
84.2,114.145,-2.06,-15.64
84.1,114.201,-2.18,-15.77
84,114.257,-2.21,-15.75
