# DESCRIPTION:
# Reference: Voelker, AHL; de Abreu, L (2011): A Review of Abrupt Climate Change Events in the Northeastern Atlantic Ocean (Iberian Margin): Latitudinal, Longitudinal and Vertical Gradients. In: Rashid, H; Polyak, L; Mosley-Thompson, E (eds.), Abrupt Climate Change: Mechanisms, Patterns, and Impacts. Geophysical Monograph Series (AGU, Washington D.C.), 193, 15-37, https://doi.org/10.1029/2010GM001021
# Data from: https://doi.org/10.1594/PANGAEA.737413. Accessed 11 Nov 2022.
# Comment: Data was not modified in any way.

Depth [m],Age [ka BP],G. bulloides δ18O [‰ PDB],G. bulloides δ13C [‰ PDB]
12.8,73.65,1.5,-0.06
12.83,74.243,1.91,-0.3
12.86,74.835,1.27,-0.18
12.89,75.428,1.54,-0.18
12.92,76.02,1.42,-0.24
12.98,77.205,1.38,-0.26
13.01,77.798,1.02,-0.59
13.04,78.39,1.41,-0.4
13.13,80.168,1.05,-0.55
13.16,80.76,1.19,-0.3
13.19,81.353,0.88,-0.54
13.22,81.838,1.58,-0.53
13.25,82.324,1.57,-0.49
13.28,82.809,2.1,-0.34
13.31,83.294,2.82,0.11
13.34,83.78,2.07,-0.02
13.4,84.75,2.12,0.04
13.43,85.236,1.96,0.02
13.46,85.721,2.69,-0.13
13.49,86.317,2.49,-0.24
13.52,86.912,1.83,-0.3
13.55,87.508,1.55,-0.42
13.58,88.103,1.47,-0.55
13.61,88.699,1.41,-0.72
13.64,89.294,1.22,-0.38
13.67,89.89,1.81,-0.65
13.7,90.486,1.27,-0.63
13.73,91.081,1.34,-0.72
13.76,91.677,1.44,-0.94
13.79,92.272,1.13,-0.93
13.82,92.868,1.44,-0.74
13.85,93.463,1.55,-0.74
13.88,94.059,1.55,-1.04
13.91,94.655,1.64,-0.82
13.94,95.25,1.53,-0.92
13.97,95.846,1.27,-1.16
14,96.441,1.32,-1.05
14.03,97.037,1.37,-1.05
14.06,97.632,1.25,-0.97
14.09,98.228,1.34,-0.88
14.12,98.823,1.29,-1.17
14.15,99.419,0.94,-1.49
14.18,100.015,0.68,-0.87
14.21,100.61,1.34,-0.96
14.24,101.206,1.11,-1.03
14.27,101.801,1.11,-1.04
14.3,102.397,1.09,-1.43
14.33,102.992,1.77,-0.6
14.36,103.588,2.05,-0.71
14.39,104.048,1.87,-0.83
14.42,104.507,1.09,-1.1
14.45,104.967,1.27,-1.1
