/* DESCRIPTION:
Reference:	Dokken, T; Jansen, E (1999): Rapid changes in the mechanism of ocean convection during the last glacial period. Nature, 401(6752), 458-461, https://doi.org/10.1038/46753
Data from:	https://doi.org/10.1594/PANGAEA.61471. Accessed 27 Oct 2022.
Comment:	Data was not modified in any way.
*/
Depth [m]	Age [ka BP]	MAGS [10**-6 SI]	N. pachyderma s δ18O [‰ PDB]	N. pachyderma s δ13C [‰ PDB]	C. teretis δ18O [‰ PDB]	C. teretis δ13C [‰ PDB]	Foram/sed [#/g]	Rock fragm [#/g]	IRD [#/g]
2.015	17.53	356.39	4.31	0.06	5.31	-0.42		10.29	
2.025	17.57	406.33	4.62	0.22	5.41	-0.46	92	6.75	1443.05
2.035	17.6	435.84	3.95	-0.23	4.46	-0.82		5.71	
2.045	17.64	433.57	4.61	0.04	5.49	-0.48	329	8.03	1566.61
2.055	17.67	415.41						7.61	
2.065	17.71	394.98	4.58	0.22	5.12	-0.52			
2.075	17.74	376.82	4.5	0.01	5.18	-0.73	413	7.37	1767.04
2.085	17.78	363.2	4.23	0.02	4.95	-0.66		10.19	
2.095	17.81	358.66							
2.105	17.85	358.66	4.74	0.21	5.1	-0.52	95	14.99	1908.08
2.115	17.87	356.39						12.15	
2.125	17.89	354.12	4.61	0.06	5.23	-0.51		12.98	
2.135	17.92	345.04						11.38	
2.145	17.94	333.69	4.36	-0.13	5.04	-0.84	337	9.92	2610.47
2.155	17.96	315.53	4.76	0.12	5.28	-0.54		16.64	
2.165	17.98	299.64	4.45	-0.02	5.3	-0.53	365	13.03	3437.8
2.175	18.01	292.83						6.91	
2.185	18.03	288.29	4.26	-0.01	5.4	-0.56		5.11	
2.195	18.05	290.56						5.43	
2.205	18.07	295.1	4.75	0.3	5.52	-0.63	139	5.35	1834.26
2.215	18.1	299.64							
2.225	18.12	295.1						4.24	
2.235	18.14	288.29	4.66	-0.01	4.82	-0.97	183	3.78	1379.39
2.245	18.16	276.94							
2.255	18.19	267.86	4.6	0.04	5.33	-0.61		5.28	
2.265	18.21	258.78							
2.275	18.23	251.97	5.01	0.25	5.32	-0.55	112	4.18	1533.5
2.285	18.25	251.97						5.28	
2.295	18.27	254.24						6.99	
2.305	18.3	256.51	4.72	0.09	5.35	-0.68	96	6.92	1745.36
2.315	18.32	256.51							
2.325	18.34	258.78	4.48	-0.17	5.28	-0.61	135	6.84	2022.41
2.335	18.36	258.78						6.86	
2.345	18.39	274.67						11.28	
2.355	18.41	299.64	4.55	0.01	5.38	-0.49	12	13.02	3257.69
2.365	18.43	322.34							
2.375	18.45	324.61						4.59	
2.385	18.48	306.45	4.43	0.01	5.24	-0.59	66	4.13	1398.18
2.395	18.5	283.75						9.13	
2.405	18.52	283.75	4.62	0.06	5.45	-0.5	135	13.46	4369.14
2.415	18.54	308.72							
2.425	18.56	326.88						11.08	
2.435	18.59	313.26	4.45	-0.06	5.25	-0.56	131	10.95	2000.65
2.445	18.61	286.02						9.62	
2.455	18.63	274.67	4.6	0.09		-0.32		8	
2.465	18.65	274.67							
2.475	18.68	281.48						9.68	
2.485	18.7	288.29	4.45	-0.06	5.14	-0.73	174	8.78	2280.57
2.49	18.71		4.61	0.03					
2.495	18.72	297.37							
2.505	18.74	299.64	4.77	0.17	5.48	-0.44	173	8.79	2385.08
2.515	18.77	306.45							
2.525	18.79	317.8	4.61	0.07	5.33	-0.55	118	12.74	2881.68
2.535	18.81	324.61						12.8	
2.545	18.83	326.88							
2.555	18.86	331.42	4.6	-0.01	5.29	-0.41	19	15.9	2709.18
2.565	18.88	338.23							
2.575	18.9	340.5	4.61	0.02	5.38	-0.54	173	8.82	2317.2
2.585	18.92	347.31						10.84	
2.595	18.94	349.58							
2.605	18.97	347.31	4.72	0.16	5.31	-0.38	93	9.88	2066.06
2.615	18.99	335.96							
2.625	19.01	329.15	4.6	-0.09	5.22	-0.64	69	22.83	2870.93
2.635	19.03	313.26						17.58	
2.645	19.06	295.1							
2.655	19.08	283.75			5.25	-0.43	221	11.56	1521.85
2.665	19.1	267.86							
2.675	19.12	249.7						4.47	
2.685	19.15	247.43	4.66	-0.03	5.2	-0.59	297	3.55	1190.2
2.695	19.17	265.59							
2.705	19.19	290.56	4.49	-0.1	5.42	-0.38	276	5.91	947.46
2.715	19.21	306.45							
2.725	19.24	308.72	4.55	0.09	5.38	-0.54	230	3.52	818.75
2.735	19.26	306.45						5.54	
2.745	19.28	304.18			5.1	-0.72	44	5.96	903.36
2.755	19.3	297.37	4.73	-0.03	5.47	-0.55	9	5.09	923.73
2.765	19.32	283.75							
2.775	19.35	270.13						5.14	
2.785	19.37	270.13	4.62	0.01			265	3.9	833.32
2.795	19.39	279.21							
2.805	19.41	295.1							
2.815	19.44	308.72						4.46	
2.825	19.46	315.53						5.64	
2.835	19.48	315.53	4.5	0.01	5.24	-0.47	13	4.92	748.61
2.845	19.5	310.99						6.69	
2.855	19.53	299.64	4.72	0.21	5.2	-0.47	210	3.8	1099.6
2.865	19.55	288.29						4.7	
2.875	19.57	286.02						3.17	
2.885	19.59	288.29	4.55	-0.08	5.12	-0.67	316	4.49	629.44
2.895	19.62	297.37						4.52	
2.905	19.64	304.18	4.61	0.25	5.54	-0.49		4.84	
2.915	19.66	306.45						3.77	
2.925	19.68	306.45					154	4.58	379.92
2.935	19.7	306.45						3.75	
2.945	19.73	308.72						4.07	
