# DESCRIPTION:
# Reference: Gkinis, Vasileios; Vinther, Bo Møllesøe; Popp, Trevor J; et al. (2021): A 120,000-year long climate record from a NW-Greenland deep ice core at ultra-high resolution. Scientific Data, 8, 141, https://doi.org/10.1038/s41597-021-00916-9.
# Data from: https://doi.org/10.1594/PANGAEA.925552. Accessed 07 Jan 2023.
# Comment: Several variables from the original dataset are not included here.
# Comment: Ages for 60.20567 ka b2k and earlier have been added using the age model from Rasmussen et al., 2013: https://doi.org/10.5194/cp-9-2713-2013, data accessed from https://www.iceandclimate.nbi.ku.dk/data/.

Depth ice/snow [m],Age [ka b2k] (GICC05),δ18O H2O [‰ SMOW],δD H2O [‰ SMOW]
1228.3,8.21318,-35.279,-270.81
1228.35,8.21387,-36.088,-278.57
1228.4,8.21463,-36.299,-280.67
1228.45,8.21547,-34.41,-265
1228.5,8.21623,-33.794,-260.74
1228.55,8.21679,-34.184,-264.44
1228.6,8.21749,-34.637,-266.77
1228.65,8.21827,-36.855,-285.99
1228.7,8.21903,-35.828,-276.11
1228.75,8.2196,-33.6,-257.49
1228.8,8.22028,-32.91,-251.59
1228.85,8.22133,-34.177,-263.15
1228.9,8.22234,-35.606,-276.53
1228.95,8.22291,-34.762,-269.28
1229,8.22367,-33.595,-258.27
1229.05,8.22437,-34.221,-263.46
1229.1,8.22501,-35.14,-272.84
1229.15,8.22592,-35.174,-271.54
1229.2,8.22641,-35.314,-273.34
1229.25,8.22687,-34.071,-262.77
1229.3,8.22756,-33.526,-257.69
1229.35,8.22826,-34.744,-268.74
1229.4,8.22883,-35.382,-273.86
1229.45,8.22965,-34.982,-271.01
1229.5,8.23028,-34.703,-268.75
1229.55,8.23073,-35.409,-273.71
1229.6,8.23126,-35.774,-277.6
1229.65,8.23189,-34.792,-268.9
1229.7,8.23275,-35.208,-273.17
1229.75,8.23358,-36.187,-281.36
1229.8,8.23442,-35.736,-276.88
1229.85,8.23528,-35.111,-271.63
1229.9,8.23608,-34.531,-266.49
1229.95,8.23747,-34.368,-264.3
1230,8.23825,-34.521,-266.08
1230.05,8.23868,-35.032,-270.36
1230.1,8.23917,-35.945,-277.65
1230.15,8.23985,-35.957,-277.2
1230.2,8.24067,-37.807,-294.22
1230.25,8.24147,-37.76,-292.24
1230.3,8.2422,-37.472,-289.88
1230.35,8.24287,-36.146,-278.77
1230.4,8.24382,-33.607,-256.79
1230.45,8.24462,-34.257,-264.3
1230.5,8.24575,-35.344,-272.54
1230.55,8.24701,-35.447,-273.44
1230.6,8.24802,-35.307,-273.64
1230.65,8.24877,-35.582,-277.99
1230.7,8.24943,-34.033,-263.24
1230.75,8.25004,-33.029,-254.46
1230.8,8.25091,-33.787,-261.43
1230.85,8.25154,-33.623,-259.03
1230.9,8.25225,-33.223,-256.05
1230.95,8.25331,-34.767,-269.34
1231,8.2542,-35.165,-272.25
1231.05,8.25467,-34.541,-266.1
1231.1,8.25516,-35.126,-270.39
1231.15,8.25571,-36.201,-279.44
1231.2,8.25647,-35.748,-275.11
1231.25,8.25736,-35.713,-275.89
1231.3,8.2581,-35.17,-271.69
1231.35,8.2587,-34.112,-263.15
1231.4,8.25931,-34.124,-261.44
1231.45,8.25991,-35.31,-271.56
1231.5,8.26065,-35.908,-276.33
1231.55,8.26141,-37.418,-290.83
1231.6,8.26209,-36.311,-281.19
1231.65,8.26249,-33.869,-261.52
1231.7,8.2629,-32.41,-249.03
1231.75,8.26326,-32.35,-249.53
1231.8,8.26363,-33.797,-261.64
1231.85,8.264,-35.006,-271.25
1231.9,8.2649,-34.53,-265.65
1231.95,8.26562,-34.401,-265.23
1232,8.26629,-34.368,-265.98
1232.05,8.26692,-33.388,-256.83
1232.1,8.26792,-33.89,-260.93
1232.15,8.26897,-35.399,-273.98
1232.2,8.26977,-34.738,-267.46
1232.25,8.27037,-33.899,-261.85
1232.3,8.2709,-33.758,-261.01
1232.35,8.27132,-34.973,-270.65
1232.4,8.27171,-35.71,-275.81
1232.45,8.27215,-34.824,-268.4
1232.5,8.27273,-34.351,-264.64
1232.55,8.27337,-34.107,-262.82
1232.6,8.27409,-34.329,-265.96
1232.65,8.27499,-34.114,-263.99
1232.7,8.27589,-33.473,-259.78
1232.75,8.27655,-32.559,-252.06
1232.8,8.27718,-32.016,-245.65
1232.85,8.27782,-32.826,-251.32
1232.9,8.27841,-36.101,-279.69
1232.95,8.27898,-36.422,-282.01
1233,8.27961,-33.477,-257.96
1233.05,8.28027,-31.954,-245.99
1233.1,8.28097,-32.996,-254.34
