# DESCRIPTION:
# Reference: Hodell, D.A., H.F. Evans, J.E.T. Channell, and J.H. Curtis. 2010. Phase relationships of North Atlantic ice-rafted debris and surface-deep climate proxies during the last glacial period. Quaternary Science Reviews, Vol. 29, pp. 3875-3886, https://doi.org/10.1016/j.quascirev.2010.09.006
# Data from: https://www.ncei.noaa.gov/access/paleo-search/study/11821. Accessed 29 Oct 2022.
# Comment: Data was not modified in any way.

Depth (cm),Age (kyrs SFCP04),log(K/Ti),3pt smooth log(K/Ti),Zr/Sr,3 pt smooth (Zr/Sr)
435.7,3.0279,0.08461,0.08281,0.11885,0.12571
435.95,3.0399,0.07227,0.08233,0.10618,0.12011
436.2,3.0518,0.10051,0.08538,0.11824,0.11593
436.45,3.0638,0.08389,0.08227,0.11746,0.1172
436.7,3.0758,0.0856,0.07892,0.11894,0.12374
436.95,3.0878,0.06907,0.07051,0.12516,0.12725
437.2,3.0997,0.05551,0.06722,0.1389,0.1304
437.45,3.1117,0.05845,0.06543,0.13578,0.13395
437.7,3.1237,0.06745,0.0675,0.13321,0.13435
437.95,3.1357,0.07668,0.07176,0.1367,0.13298
438.2,3.1476,0.07943,0.07775,0.12717,0.13478
438.45,3.1596,0.07678,0.0839,0.13206,0.13181
438.7,3.1716,0.0884,0.08682,0.14474,0.12944
438.95,3.1836,0.09819,0.08562,0.1184,0.12939
439.2,3.1955,0.09131,0.08609,0.12483,0.13003
439.45,3.2075,0.07344,0.08603,0.12694,0.12728
439.7,3.2195,0.07911,0.08267,0.13525,0.13076
439.95,3.2314,0.08811,0.08155,0.13096,0.1334
440.2,3.2434,0.08136,0.08349,0.13581,0.13504
440.45,3.2554,0.08575,0.07949,0.13803,0.13405
440.7,3.2674,0.08314,0.07463,0.13511,0.13767
440.95,3.2793,0.0591,0.07025,0.13035,0.13825
441.2,3.2913,0.06378,0.06735,0.14905,0.13864
441.45,3.3033,0.05946,0.07133,0.1387,0.13686
441.7,3.3153,0.07128,0.07598,0.13999,0.13776
441.95,3.3272,0.10299,0.08197,0.12623,0.13577
442.2,3.3392,0.08239,0.09098,0.13484,0.13766
442.45,3.3512,0.09371,0.09675,0.13911,0.13561
442.7,3.3632,0.10454,0.09575,0.14812,0.13937
442.95,3.3751,0.10013,0.09589,0.12978,0.13905
443.2,3.3871,0.09799,0.09143,0.14503,0.13647
443.45,3.3991,0.08305,0.08593,0.13323,0.13311
443.7,3.4111,0.07145,0.07903,0.12619,0.13317
443.95,3.423,0.07702,0.07243,0.13133,0.13343
444.2,3.435,0.06564,0.07146,0.13007,0.13385
444.45,3.447,0.065,0.07172,0.14635,0.13617
444.7,3.4589,0.0782,0.06729,0.13533,0.13608
444.95,3.4709,0.07276,0.06087,0.13779,0.13879
445.2,3.4829,0.05485,0.05997,0.13086,0.13734
445.45,3.4949,0.03356,0.05121,0.14361,0.13984
445.7,3.5068,0.06051,0.05555,0.1391,0.13709
445.95,3.5188,0.03436,0.05261,0.14786,0.14008
446.2,3.5308,0.09448,0.06324,0.12402,0.13904
446.45,3.5428,0.04016,0.0661,0.14579,0.14108
446.7,3.5547,0.08667,0.07327,0.13845,0.13988
446.95,3.5667,0.0748,0.07323,0.14928,0.14271
447.2,3.5787,0.07023,0.0815,0.14185,0.14327
447.45,3.5907,0.09427,0.08705,0.1382,0.1442
447.7,3.6026,0.08151,0.09172,0.14859,0.14029
447.95,3.6146,0.11441,0.09599,0.14311,0.13815
448.2,3.6266,0.09815,0.09508,0.12969,0.13877
448.45,3.6386,0.0916,0.09868,0.13114,0.13451
448.7,3.6505,0.08974,0.0889,0.1413,0.13295
448.95,3.6625,0.09951,0.08301,0.12728,0.13362
449.2,3.6745,0.06551,0.08515,0.13531,0.13512
449.45,3.6864,0.06867,0.07688,0.13307,0.13538
449.7,3.6984,0.10234,0.06713,0.13863,0.13871
449.95,3.7104,0.04838,0.06041,0.14262,0.14038
450.2,3.7224,0.05074,0.05858,0.14391,0.14159
450.45,3.7343,0.03191,0.04945,0.14364,0.14033
450.7,3.7463,0.05954,0.0551,0.13916,0.13901
450.95,3.7583,0.05666,0.06079,0.13234,0.13964
451.2,3.7703,0.07663,0.06672,0.136,0.1394
451.45,3.7822,0.07919,0.0707,0.14705,0.14029
451.7,3.7942,0.0616,0.06711,0.14246,0.13917
451.95,3.8062,0.07944,0.06407,0.14358,0.14282
452.2,3.8182,0.03872,0.0534,0.12679,0.13958
452.45,3.8301,0.06139,0.04645,0.15422,0.13956
452.7,3.8421,0.02586,0.03541,0.13087,0.14107
452.95,3.8541,0.02686,0.04014,0.14237,0.14297
453.2,3.8661,0.0242,0.03788,0.15109,0.14289
453.45,3.878,0.06237,0.04812,0.13631,0.14383
453.7,3.89,0.05013,0.05709,0.15378,0.14304
453.95,3.902,0.07706,0.06198,0.13559,0.14125
454.2,3.9139,0.07171,0.06496,0.13842,0.14524
454.45,3.9259,0.04864,0.06919,0.14214,0.14548
454.7,3.9379,0.07724,0.07035,0.15626,0.14752
454.95,3.9499,0.07127,0.07478,0.155,0.14972
455.2,3.9618,0.08288,0.07734,0.14578,0.15015
455.45,3.9738,0.09387,0.0765,0.14941,0.14875
455.7,3.9858,0.06146,0.07583,0.1443,0.15408
455.95,3.9978,0.07302,0.07197,0.14924,0.15447
456.2,4.0097,0.06795,0.06964,0.18165,0.15228
456.45,4.0217,0.06355,0.07039,0.14774,0.15138
456.7,4.0337,0.08221,0.06232,0.13849,0.15217
456.95,4.0457,0.06521,0.05173,0.13976,0.1417
457.2,4.0576,0.03269,0.04689,0.15323,0.13699
457.45,4.0696,0.01499,0.03586,0.1293,0.13925
457.7,4.0816,0.03933,0.03173,0.12416,0.13808
457.95,4.0936,0.0271,0.03538,0.14978,0.13375
458.2,4.1055,0.04453,0.04556,0.13394,0.13552
458.45,4.1175,0.05093,0.05118,0.13154,0.13708
458.7,4.1295,0.06588,0.05551,0.13818,0.135
458.95,4.1414,0.06746,0.05786,0.13193,0.13701
459.2,4.1534,0.04874,0.06105,0.13941,0.14195
459.45,4.1654,0.05631,0.06203,0.14399,0.14294
459.7,4.1774,0.06683,0.06094,0.15624,0.14785
459.95,4.1893,0.0708,0.06554,0.14313,0.14976
460.2,4.2013,0.06202,0.06794,0.15648,0.15274
460.45,4.2133,0.07175,0.07113,0.14896,0.15218
460.7,4.2253,0.06831,0.06954,0.1589,0.15332
460.95,4.2372,0.08276,0.0744,0.15343,0.1527
461.2,4.2492,0.06286,0.06625,0.14882,0.15461
461.45,4.2612,0.08633,0.05663,0.1534,0.15424
461.7,4.2732,0.031,0.05878,0.15848,0.15497
461.95,4.2851,0.02021,0.06538,0.15709,0.15808
462.2,4.2971,0.09349,0.06736,0.15708,0.1574
462.45,4.3091,0.09587,0.0762,0.16436,0.15826
462.7,4.3211,0.09622,0.0857,0.15001,0.15705
462.95,4.333,0.0752,0.08074,0.16276,0.15946
463.2,4.345,0.06771,0.07738,0.15102,0.15924
463.45,4.357,0.0687,0.07297,0.16916,0.1591
463.7,4.3689,0.07907,0.06907,0.16327,0.16023
463.95,4.3809,0.07418,0.07089,0.1493,0.16217
464.2,4.3929,0.05567,0.07213,0.16842,0.15815
464.45,4.4049,0.07682,0.07108,0.16072,0.1562
464.7,4.4168,0.07488,0.06803,0.14904,0.15377
464.95,4.4288,0.07384,0.05907,0.15354,0.14899
465.2,4.4408,0.05895,0.05511,0.13716,0.14422
465.45,4.4528,0.01086,0.05,0.1445,0.13972
465.7,4.4647,0.05701,0.03737,0.13685,0.13561
465.95,4.4767,0.04932,0.02476,0.12658,0.13523
466.2,4.4887,0.01069,0.02334,0.13294,0.13753
466.45,4.5007,-0.00407,0.01944,0.13526,0.13983
466.7,4.5126,0.00377,0.01887,0.15601,0.14441
466.95,4.5246,0.03748,0.0285,0.14834,0.15113
467.2,4.5366,0.0465,0.04918,0.14952,0.15771
467.45,4.5486,0.0588,0.07197,0.16651,0.16421
467.7,4.5605,0.09933,0.08979,0.16816,0.16832
467.95,4.5725,0.11774,0.10497,0.18851,0.17034
468.2,4.5845,0.1266,0.11633,0.16889,0.1697
468.45,4.5964,0.12239,0.12115,0.15965,0.16383
468.7,4.6084,0.11558,0.12232,0.16327,0.15627
468.95,4.6204,0.12343,0.12283,0.13882,0.1497
469.2,4.6324,0.12362,0.11476,0.15069,0.14414
469.45,4.6443,0.12914,0.1053,0.13606,0.13844
469.7,4.6563,0.08202,0.09784,0.13186,0.13622
469.95,4.6683,0.06831,0.08485,0.13475,0.13273
470.2,4.6803,0.08611,0.07182,0.12775,0.13304
470.45,4.6922,0.05864,0.06761,0.13325,0.13328
470.7,4.7042,0.06399,0.06429,0.13761,0.13199
470.95,4.7162,0.06099,0.06044,0.13303,0.13176
471.2,4.7282,0.0517,0.06271,0.12832,0.13043
471.45,4.7401,0.06689,0.06644,0.12661,0.13173
471.7,4.7521,0.06997,0.06682,0.12658,0.13256
471.95,4.7641,0.08265,0.06555,0.1441,0.13632
472.2,4.7761,0.0629,0.06144,0.1372,0.14131
472.45,4.788,0.04536,0.05537,0.14709,0.14259
472.7,4.8,0.0463,0.04012,0.15157,0.14412
472.95,4.812,0.03962,0.03866,0.13301,0.1458
