# DESCRIPTION:
# Reference: Nuernberg, D., M. Ziegler, C. Karas, R. Tiedemann, and M. Schmidt. 2008. Interacting Loop Current variability and Mississippi River discharge over the past 400 kyr. Earth and Planetary Science Letters, 272(1-2), 278-289, https://doi.org/10.1016/j.epsl.2008.04.051.
# Data from: https://www.ncei.noaa.gov/access/paleo-search/study/6417
# Comment: Empty data points were removed.

Depth [cm],Age [ka],Magnetic Susceptibility,d18O (G.ruber w.),d18O (U.peregr.),SST [C] from Mg/Ca,d18O (G. crassaf.),Coarse carb. [%]
2276,251.527,34,NaN,NaN,NaN,NaN,NaN
2278,251.764,32,NaN,NaN,NaN,NaN,NaN
2280,252,36,-0.885,4.242,25.38,NaN,0.743
2282,252.138,36,NaN,NaN,NaN,NaN,NaN
2284,252.277,34,NaN,NaN,NaN,NaN,NaN
2285,252.346,NaN,-1.339,4.116,25.7,NaN,2.253
2286,252.415,34,NaN,NaN,NaN,NaN,NaN
2288,252.553,32,NaN,NaN,NaN,NaN,NaN
2290,252.691,37,-1.159,3.938,25.72,NaN,3.751
2292,252.83,35,NaN,NaN,NaN,NaN,NaN
2294,252.968,46,NaN,NaN,NaN,NaN,NaN
2295,253.037,NaN,-1.355,3.914,27.32,NaN,NaN
2296,253.106,40,NaN,NaN,NaN,NaN,NaN
2298,253.244,40,NaN,NaN,NaN,NaN,NaN
2300,253.383,43,-1.214,3.838,26.73,NaN,NaN
2302,253.521,43,NaN,NaN,NaN,NaN,NaN
2304,253.659,39,NaN,NaN,NaN,NaN,NaN
2305,253.728,NaN,-1.197,3.884,27.21,NaN,1.978
2306,253.798,42,NaN,NaN,NaN,NaN,NaN
2308,253.936,41,NaN,NaN,NaN,NaN,NaN
2310,254.074,47,-1.116,3.911,27.25,NaN,NaN
2312,254.212,45,NaN,NaN,NaN,NaN,NaN
2314,254.351,45,NaN,NaN,NaN,NaN,NaN
2315,254.42,NaN,-1.174,3.913,27.5,NaN,0.527
2316,254.489,35,NaN,NaN,NaN,NaN,NaN
2318,254.627,35,NaN,NaN,NaN,NaN,NaN
2320,254.765,45,-0.847,3.94,26.85,NaN,3.794
2322,254.904,33,NaN,NaN,NaN,NaN,NaN
2324,255.042,41,NaN,NaN,NaN,NaN,NaN
2325,255.111,NaN,-0.953,NaN,26.75,NaN,NaN
2326,255.18,39,NaN,NaN,NaN,NaN,NaN
2328,255.319,27,NaN,NaN,NaN,NaN,NaN
2330,255.457,25,-1.063,NaN,28.26,NaN,1.301
2332,255.595,27,NaN,NaN,NaN,NaN,NaN
2334,255.733,25,NaN,NaN,NaN,NaN,NaN
2335,255.802,NaN,-0.51,3.918,28.39,NaN,NaN
2336,255.872,26,NaN,NaN,NaN,NaN,NaN
2338,256.01,26,NaN,NaN,NaN,NaN,NaN
2340,256.148,27,-1.013,4.034,28.23,NaN,6.983
2342,256.286,28,NaN,NaN,NaN,NaN,NaN
2344,256.425,29,NaN,NaN,NaN,NaN,NaN
2345,256.494,NaN,-1.269,3.606,28.88,NaN,NaN
2346,256.563,28,NaN,NaN,NaN,NaN,NaN
2348,256.701,27,NaN,NaN,NaN,NaN,NaN
2350,256.84,25,-0.917,3.498,27.03,NaN,10.447
2352,256.978,24,NaN,NaN,NaN,NaN,NaN
2354,257.116,26,NaN,NaN,NaN,NaN,NaN
2355,257.185,NaN,-1.19,3.951,27.96,NaN,NaN
2356,257.254,27,NaN,NaN,NaN,NaN,NaN
2358,257.393,28,NaN,NaN,NaN,NaN,NaN
2360,257.531,26,-0.75,3.811,29.3,NaN,NaN
2362,257.669,28,NaN,NaN,NaN,NaN,NaN
2364,257.807,31,NaN,NaN,NaN,NaN,NaN
2365,257.877,NaN,-0.592,3.931,25.81,NaN,7.501
2366,257.946,32,NaN,NaN,NaN,NaN,NaN
2368,258.084,30,NaN,NaN,NaN,NaN,NaN
2370,258.222,31,-0.51,3.978,26.93,NaN,8.606
2372,258.36,37,NaN,NaN,NaN,NaN,NaN
2374,258.499,29,NaN,NaN,NaN,NaN,NaN
2375,258.568,NaN,-0.836,4.03,27,NaN,NaN
2376,258.637,36,NaN,NaN,NaN,NaN,NaN
2378,258.775,34,NaN,NaN,NaN,NaN,NaN
2380,258.914,27,-0.559,3.846,27.63,NaN,5.739
2382,259.052,29,NaN,NaN,NaN,NaN,NaN
2384,259.19,29,NaN,NaN,NaN,NaN,NaN
2385,259.259,NaN,-0.46,3.93,26.06,NaN,NaN
2386,259.328,37,NaN,NaN,NaN,NaN,NaN
2388,259.467,29,NaN,NaN,NaN,NaN,NaN
2390,259.605,25,-0.348,3.89,25.05,NaN,8.959
2392,259.743,17,NaN,NaN,NaN,NaN,NaN
2394,259.881,20,NaN,NaN,NaN,NaN,NaN
2395,259.951,NaN,-0.549,3.887,25.34,NaN,NaN
2396,260.02,14,NaN,NaN,NaN,NaN,NaN
2398,260.158,16,-0.787,3.933,25.14,NaN,22.444
2400,260.296,17,NaN,NaN,NaN,NaN,NaN
2402,260.435,14,-0.245,3.848,26.23,NaN,NaN
2404,260.573,15,NaN,NaN,NaN,NaN,NaN
2405,260.642,NaN,-0.631,3.86,25.29,NaN,24.057
2406,260.711,16,NaN,NaN,NaN,NaN,NaN
2408,260.849,14,NaN,NaN,NaN,NaN,NaN
2410,260.988,16,-0.839,3.8,26.34,NaN,NaN
2412,261.126,16,NaN,NaN,NaN,NaN,NaN
2414,261.264,14,NaN,NaN,NaN,NaN,NaN
2415,261.333,NaN,-0.412,3.569,26.42,NaN,26.7
2416,261.402,16,NaN,NaN,NaN,NaN,NaN
2418,261.541,16,NaN,NaN,NaN,NaN,NaN
2420,261.679,17,-0.226,3.86,26.02,NaN,NaN
2422,261.817,19,NaN,NaN,NaN,NaN,NaN
2424,261.956,16,NaN,NaN,NaN,NaN,NaN
2425,262.025,NaN,-0.336,3.626,26.14,NaN,NaN
2426,262.094,17,NaN,NaN,NaN,NaN,NaN
2428,262.232,19,NaN,NaN,NaN,NaN,NaN
2430,262.37,23,-0.42,3.804,24.98,NaN,NaN
2432,262.509,21,NaN,NaN,NaN,NaN,NaN
2434,262.647,25,NaN,NaN,NaN,NaN,NaN
2435,262.716,NaN,-0.277,3.855,25.4,NaN,15.995
2436,262.785,21,NaN,NaN,NaN,NaN,NaN
2438,262.923,25,NaN,NaN,NaN,NaN,NaN
2440,263.062,23,-0.437,3.852,25.9,NaN,NaN
2442,263.2,22,NaN,NaN,NaN,NaN,NaN
2444,263.338,17,NaN,NaN,NaN,NaN,NaN
2445,263.407,NaN,-0.774,3.722,25.98,NaN,17.708
2446,263.477,15,NaN,NaN,NaN,NaN,NaN
2448,263.615,16,NaN,NaN,NaN,NaN,NaN
2450,263.753,15,-0.509,3.714,27.42,NaN,NaN
2452,263.891,15,NaN,NaN,NaN,NaN,NaN
2454,264.03,15,NaN,NaN,NaN,NaN,NaN
2455,264.099,NaN,-0.495,3.961,25.15,NaN,21.785
2456,264.168,14,NaN,NaN,NaN,NaN,NaN
2458,264.306,14,NaN,NaN,NaN,NaN,NaN
2460,264.444,17,-0.548,3.914,25.28,NaN,NaN
2462,264.583,17,NaN,NaN,NaN,NaN,NaN
2464,264.721,22,NaN,NaN,NaN,NaN,NaN
2465,264.79,NaN,-1.392,3.999,25.69,NaN,17.631
2466,264.859,22,NaN,NaN,NaN,NaN,NaN
2468,264.998,24,NaN,NaN,NaN,NaN,NaN
2470,265.136,24,-1.084,3.758,26.79,NaN,NaN
2472,265.274,23,NaN,NaN,NaN,NaN,NaN
2474,265.412,25,NaN,NaN,NaN,NaN,NaN
2475,265.481,NaN,-0.633,3.671,26.77,NaN,11.193
2476,265.551,25,NaN,NaN,NaN,NaN,NaN
2478,265.689,25,NaN,NaN,NaN,NaN,NaN
2480,265.827,27,-0.737,3.684,27.13,NaN,NaN
2482,265.965,32,NaN,NaN,NaN,NaN,NaN
2484,266.104,33,NaN,NaN,NaN,NaN,NaN
2485,266.173,NaN,-0.881,3.511,25.62,NaN,9.901
2486,266.242,29,NaN,NaN,NaN,NaN,NaN
2488,266.38,30,NaN,NaN,NaN,NaN,NaN
2490,266.519,27,-0.374,3.312,25.51,NaN,NaN
2492,266.657,27,NaN,NaN,NaN,NaN,NaN
2494,266.795,24,NaN,NaN,NaN,NaN,NaN
2495,266.864,NaN,-0.775,3.43,26.17,NaN,11.482
2496,266.933,24,NaN,NaN,NaN,NaN,NaN
2498,267.072,24,NaN,NaN,NaN,NaN,NaN
2500,267.21,26,-0.707,3.418,24.99,NaN,NaN
2502,267.348,24,NaN,NaN,NaN,NaN,NaN
2504,267.486,22,NaN,NaN,NaN,NaN,NaN
2505,267.556,NaN,-0.667,3.561,24.98,NaN,9.94
2506,267.625,24,NaN,NaN,NaN,NaN,NaN
2508,267.763,25,NaN,NaN,NaN,NaN,NaN
2510,267.901,30,-0.276,3.549,25.48,NaN,NaN
2512,268.04,32,NaN,NaN,NaN,NaN,NaN
2514,268.178,32,NaN,NaN,NaN,NaN,NaN
2515,268.247,NaN,-0.782,3.738,24.19,NaN,8.744
2516,268.316,25,NaN,NaN,NaN,NaN,NaN
2518,268.454,26,NaN,NaN,NaN,NaN,NaN
2520,268.593,22,-0.637,3.725,23.91,NaN,NaN
2522,268.731,22,NaN,NaN,NaN,NaN,NaN
2524,268.869,24,NaN,NaN,NaN,NaN,NaN
2525,268.938,NaN,-0.957,3.594,24.54,NaN,9.842
2526,269.007,27,NaN,NaN,NaN,NaN,NaN
2530,269.284,30,-0.23,3.712,24.85,NaN,NaN
2532,269.422,26,NaN,NaN,NaN,NaN,NaN
2534,269.56,25,NaN,NaN,NaN,NaN,NaN
2535,269.63,NaN,-0.492,3.756,25.09,NaN,7.186
2536,269.699,22,NaN,NaN,NaN,NaN,NaN
2538,269.837,19,NaN,NaN,NaN,NaN,NaN
2540,269.975,18,-0.266,3.89,24.87,NaN,NaN
2542,270.114,21,NaN,NaN,NaN,NaN,NaN
2544,270.252,19,NaN,NaN,NaN,NaN,NaN
2545,270.321,NaN,-0.294,3.703,24.85,NaN,8.224
2546,270.39,15,NaN,NaN,NaN,NaN,NaN
2548,270.528,14,-0.693,3.769,24.68,NaN,NaN
2550,270.667,15,NaN,NaN,NaN,NaN,NaN
2552,270.805,13,-0.715,3.627,NaN,NaN,10.133
2554,270.943,13,NaN,NaN,NaN,NaN,NaN
2555,271.012,NaN,-0.436,3.835,24.44,NaN,NaN
2556,271.081,18,NaN,NaN,NaN,NaN,NaN
2558,271.22,13,NaN,NaN,NaN,NaN,NaN
2560,271.358,16,-0.113,3.91,24.43,NaN,12.238
2562,271.496,16,NaN,NaN,NaN,NaN,NaN
2564,271.635,18,NaN,NaN,NaN,NaN,NaN
2565,271.704,NaN,-0.679,3.844,25.5,NaN,NaN
2566,271.773,22,NaN,NaN,NaN,NaN,NaN
2568,271.911,22,NaN,NaN,NaN,NaN,NaN
2570,272.049,23,-0.235,4.005,23.42,NaN,5.133
2572,272.188,24,NaN,NaN,NaN,NaN,NaN
2574,272.326,29,NaN,NaN,NaN,NaN,NaN
2575,272.395,NaN,-0.076,4.15,24.39,NaN,NaN
2576,272.464,24,NaN,NaN,NaN,NaN,NaN
2578,272.602,24,NaN,NaN,NaN,NaN,NaN
2580,272.741,25,-0.01,3.752,23.96,NaN,2.269
2582,272.879,24,NaN,NaN,NaN,NaN,NaN
2584,273.017,28,NaN,NaN,NaN,NaN,NaN
2585,273.086,NaN,-0.235,3.956,24.52,NaN,NaN
2586,273.156,27,NaN,NaN,NaN,NaN,NaN
2588,273.294,28,NaN,NaN,NaN,NaN,NaN
2590,273.432,29,-0.564,3.911,25.84,NaN,1.11
2592,273.57,29,NaN,NaN,NaN,NaN,NaN
2594,273.709,28,NaN,NaN,NaN,NaN,NaN
2595,273.778,NaN,-1.19,3.861,26.13,NaN,NaN
2596,273.847,30,NaN,NaN,NaN,NaN,NaN
2598,273.985,24,NaN,NaN,NaN,NaN,NaN
2600,274.123,21,-1.21,4.065,24.16,NaN,20.771
2602,274.262,16,NaN,NaN,NaN,NaN,NaN
2604,274.4,16,NaN,NaN,NaN,NaN,NaN
2605,274.469,NaN,-0.377,3.966,24.7,NaN,NaN
2606,274.538,16,NaN,NaN,NaN,NaN,NaN
2608,274.677,14,NaN,NaN,NaN,NaN,NaN
2610,274.815,14,NaN,NaN,23.41,NaN,8.287
2612,274.953,15,NaN,NaN,NaN,NaN,NaN
2614,275.091,14,NaN,NaN,NaN,NaN,NaN
2615,275.16,NaN,-0.434,4.091,24.03,NaN,NaN
2616,275.23,15,NaN,NaN,NaN,NaN,NaN
2618,275.368,15,NaN,NaN,NaN,NaN,NaN
2620,275.506,15,-0.398,3.915,23.81,NaN,9.436
2622,275.644,16,NaN,NaN,NaN,NaN,NaN
2624,275.783,17,NaN,NaN,NaN,NaN,NaN
2625,275.852,NaN,-0.148,3.823,24.25,NaN,NaN
2626,275.921,16,NaN,NaN,NaN,NaN,NaN
2628,276.059,17,NaN,NaN,NaN,NaN,NaN
2630,276.198,17,-0.505,4.133,24.35,NaN,8.809
2632,276.336,16,NaN,NaN,NaN,NaN,NaN
2634,276.474,17,NaN,NaN,NaN,NaN,NaN
2635,276.543,NaN,-0.134,3.816,26.06,NaN,NaN
2636,276.612,17,NaN,NaN,NaN,NaN,NaN
2638,276.751,18,NaN,NaN,NaN,NaN,NaN
2640,276.889,17,-0.191,3.723,24.52,NaN,6.545
2642,277.027,16,NaN,NaN,NaN,NaN,NaN
2644,277.165,16,NaN,NaN,NaN,NaN,NaN
2645,277.235,NaN,-0.26,3.973,23.89,NaN,NaN
2646,277.304,16,NaN,NaN,NaN,NaN,NaN
2648,277.442,16,NaN,NaN,NaN,NaN,NaN
2650,277.58,16,-0.823,3.772,23.87,NaN,9.551
2652,277.719,14,NaN,NaN,NaN,NaN,NaN
2654,277.857,15,NaN,NaN,NaN,NaN,NaN
2655,277.926,NaN,-0.28,4.079,23.64,NaN,NaN
2656,277.995,15,NaN,NaN,NaN,NaN,NaN
2658,278.133,15,NaN,NaN,NaN,NaN,NaN
2660,278.272,14,-0.847,4.184,23.81,NaN,8.434
2662,278.41,13,NaN,NaN,NaN,NaN,NaN
2664,278.548,14,NaN,NaN,NaN,NaN,NaN
2665,278.617,NaN,-0.511,4.072,24.37,NaN,NaN
2666,278.686,13,NaN,NaN,NaN,NaN,NaN
2668,278.825,13,NaN,NaN,NaN,NaN,NaN
2670,278.963,13,-0.712,4.236,24.34,NaN,11.105
2672,279.101,13,NaN,NaN,NaN,NaN,NaN
2674,279.24,14,NaN,NaN,NaN,NaN,NaN
2675,279.309,NaN,-0.906,4.016,25.35,NaN,NaN
2676,279.378,13,NaN,NaN,NaN,NaN,NaN
2678,279.516,13,NaN,NaN,NaN,NaN,NaN
2680,279.654,14,-0.354,3.664,24.87,NaN,11.984
2682,279.793,14,NaN,NaN,NaN,NaN,NaN
2684,279.931,11,NaN,NaN,NaN,NaN,NaN
2685,280,NaN,-0.29,3.465,25.02,NaN,NaN
2686,280.133,9,NaN,NaN,NaN,NaN,NaN
2688,280.4,9,NaN,NaN,NaN,NaN,NaN
2690,280.667,8,-0.972,3.516,26.37,NaN,19.023
2692,280.933,7,NaN,NaN,NaN,NaN,NaN
2694,281.2,6,NaN,NaN,NaN,NaN,NaN
2695,281.333,NaN,-0.606,3.591,25.65,NaN,NaN
2696,281.467,4,NaN,NaN,NaN,NaN,NaN
2698,281.733,6,-0.623,3.354,25.98,NaN,18.983
2700,282,6,NaN,NaN,NaN,NaN,NaN
2702,282.267,8,-0.457,3.23,27.32,NaN,NaN
2704,282.533,7,NaN,NaN,NaN,NaN,NaN
2705,282.667,NaN,-1.075,3.313,25.77,NaN,23.027
2706,282.8,7,NaN,NaN,NaN,NaN,NaN
2708,283.067,7,NaN,NaN,NaN,NaN,NaN
2710,283.333,8,-1.123,3.219,26.31,NaN,NaN
2712,283.6,7,NaN,NaN,NaN,NaN,NaN
2714,283.867,7,NaN,NaN,NaN,NaN,NaN
2715,284,NaN,-1.886,3.229,27.48,NaN,19.37
2716,284.133,7,NaN,NaN,NaN,NaN,NaN
2718,284.4,8,NaN,NaN,NaN,NaN,NaN
2720,284.667,8,-1.37,3.271,27.3,NaN,NaN
2722,284.933,9,NaN,NaN,NaN,NaN,NaN
2724,285.2,10,NaN,NaN,NaN,NaN,NaN
2725,285.333,NaN,-1.111,3.21,27.21,NaN,19.697
2726,285.467,8,NaN,NaN,NaN,NaN,NaN
2728,285.733,10,NaN,NaN,NaN,NaN,NaN
2730,286,7,-1.86,3.422,27.69,NaN,NaN
2732,286.267,7,NaN,NaN,NaN,NaN,NaN
2734,286.533,5,NaN,NaN,NaN,NaN,NaN
2735,286.667,NaN,-1.395,3.458,27.46,NaN,20.464
2736,286.8,6,NaN,NaN,NaN,NaN,NaN
2738,287.067,6,NaN,NaN,NaN,NaN,NaN
2740,287.333,5,-1.495,3.372,27.57,NaN,NaN
2742,287.6,6,NaN,NaN,NaN,NaN,NaN
2744,287.867,5,NaN,NaN,NaN,NaN,NaN
2745,288,NaN,-1.243,3.435,26.58,NaN,16.077
2746,288.133,5,NaN,NaN,NaN,NaN,NaN
2748,288.4,4,NaN,NaN,NaN,NaN,NaN
2750,288.667,4,-0.637,3.729,28.57,NaN,NaN
2752,288.933,4,NaN,NaN,NaN,NaN,NaN
2754,289.2,4,NaN,NaN,NaN,NaN,NaN
2755,289.333,NaN,-0.461,3.724,27.94,NaN,12.247
2756,289.467,5,NaN,NaN,NaN,NaN,NaN
2758,289.733,4,NaN,NaN,NaN,NaN,NaN
2760,290,4,-0.455,3.536,27.18,NaN,NaN
2762,290.267,2,NaN,NaN,NaN,NaN,NaN
2764,290.533,3,NaN,NaN,NaN,NaN,NaN
2765,290.667,NaN,-0.404,3.682,26.48,NaN,15.401
2766,290.8,3,NaN,NaN,NaN,NaN,NaN
2768,291.067,4,NaN,NaN,NaN,NaN,NaN
2770,291.333,2,-0.325,3.73,27,NaN,NaN
2772,291.6,3,NaN,NaN,NaN,NaN,NaN
2774,291.867,3,NaN,NaN,NaN,NaN,NaN
2775,292,NaN,-0.505,3.885,26.79,NaN,12.533
2776,292.237,3,NaN,NaN,NaN,NaN,NaN
2778,292.711,2,NaN,NaN,NaN,NaN,NaN
2780,293.185,4,-0.361,3.706,26.61,NaN,NaN
2782,293.659,2,NaN,NaN,NaN,NaN,NaN
2784,294.133,3,NaN,NaN,NaN,NaN,NaN
2785,294.37,NaN,-0.774,4.015,25.84,NaN,17.509
2786,294.607,2,NaN,NaN,NaN,NaN,NaN
2788,295.081,3,NaN,NaN,NaN,NaN,NaN
2790,295.556,2,-0.398,3.845,28.77,NaN,NaN
2792,296.03,2,NaN,NaN,NaN,NaN,NaN
2794,296.504,1,NaN,NaN,NaN,NaN,NaN
2795,296.741,NaN,-0.731,3.704,26.29,NaN,17.894
2796,296.978,2,NaN,NaN,NaN,NaN,NaN
2798,297.452,2,NaN,NaN,NaN,NaN,NaN
2800,297.926,2,-0.639,3.608,26.37,NaN,NaN
2802,298.4,2,NaN,NaN,NaN,NaN,NaN
2804,298.874,3,NaN,NaN,NaN,NaN,NaN
2805,299.111,NaN,-0.416,3.593,26.65,NaN,16.771
2806,299.348,3,NaN,NaN,NaN,NaN,NaN
2808,299.822,2,NaN,NaN,NaN,NaN,NaN
2810,300.296,2,-0.41,3.783,26.92,NaN,NaN
2812,300.77,3,NaN,NaN,NaN,NaN,NaN
2814,301.244,3,NaN,NaN,NaN,NaN,NaN
2815,301.481,NaN,-0.48,3.732,28.41,NaN,16.652
2816,301.719,3,NaN,NaN,NaN,NaN,NaN
2818,302.193,2,NaN,NaN,NaN,NaN,NaN
2820,302.667,2,-0.638,3.493,28.66,NaN,NaN
2822,303.141,3,NaN,NaN,NaN,NaN,NaN
2824,303.615,2,NaN,NaN,NaN,NaN,NaN
2825,303.852,NaN,-0.946,3.79,28.35,NaN,16.993
2826,304.089,3,NaN,NaN,NaN,NaN,NaN
2828,304.563,4,NaN,NaN,NaN,NaN,NaN
2830,305.037,4,-0.656,3.522,27.57,NaN,NaN
2832,305.511,3,NaN,NaN,NaN,NaN,NaN
2834,305.985,4,NaN,NaN,NaN,NaN,NaN
2835,306.222,NaN,-0.632,3.247,28.22,NaN,17.224
2836,306.459,5,NaN,NaN,NaN,NaN,NaN
2838,306.933,5,NaN,NaN,NaN,NaN,NaN
2840,307.407,6,-0.261,3.378,27.64,NaN,NaN
2842,307.881,6,NaN,NaN,NaN,NaN,NaN
2844,308.356,5,NaN,NaN,NaN,NaN,NaN
2845,308.593,NaN,-0.767,2.878,28.98,NaN,12.797
2846,308.83,6,NaN,NaN,NaN,NaN,NaN
2848,309.304,4,-1.029,3.754,28.3,NaN,NaN
2850,309.778,7,NaN,NaN,NaN,NaN,NaN
2852,310.252,7,-1.111,2.854,28.94,NaN,13.119
2854,310.726,3,NaN,NaN,NaN,NaN,NaN
2855,310.963,NaN,-0.788,3.491,28.61,NaN,NaN
2856,311.2,8,NaN,NaN,NaN,NaN,NaN
2858,311.674,6,NaN,NaN,NaN,NaN,NaN
2860,312.148,8,-1.067,3.58,26.92,NaN,11.135
2862,312.622,5,NaN,NaN,NaN,NaN,NaN
2864,313.096,4,NaN,NaN,NaN,NaN,NaN
2865,313.333,NaN,-0.867,3.641,29.34,NaN,NaN
2866,313.57,4,NaN,NaN,NaN,NaN,NaN
2868,314.044,6,NaN,NaN,NaN,NaN,NaN
2870,314.519,4,-1.164,3.226,26.53,NaN,NaN
2872,314.993,4,NaN,NaN,NaN,NaN,NaN
2874,315.467,5,NaN,NaN,NaN,NaN,NaN
2875,315.704,NaN,-0.397,3.304,25.92,NaN,7.147
2876,315.941,5,NaN,NaN,NaN,NaN,NaN
2878,316.415,3,NaN,NaN,NaN,NaN,NaN
2880,316.889,4,-0.904,NaN,26.86,NaN,8.854
2882,317.363,5,NaN,NaN,NaN,NaN,NaN
2884,317.837,4,NaN,NaN,NaN,NaN,NaN
2885,318.074,NaN,-0.564,3.248,26.62,NaN,NaN
2886,318.311,5,NaN,NaN,NaN,NaN,NaN
2888,318.785,5,NaN,NaN,NaN,NaN,NaN
2890,319.259,5,-1.236,3.035,27.87,NaN,10.042
2892,319.733,5,NaN,NaN,NaN,NaN,NaN
2894,320.207,4,NaN,NaN,NaN,NaN,NaN
2895,320.444,NaN,-0.726,2.942,29.69,NaN,NaN
2896,320.681,4,NaN,NaN,NaN,NaN,NaN
2898,321.156,5,NaN,NaN,NaN,NaN,NaN
2900,321.63,6,-0.787,NaN,28.88,NaN,10.438
2902,322.104,5,NaN,NaN,NaN,NaN,NaN
2904,322.578,5,NaN,NaN,NaN,NaN,NaN
2905,322.815,NaN,-0.927,3.477,26.9,NaN,NaN
2906,323.052,7,NaN,NaN,NaN,NaN,NaN
2908,323.526,6,NaN,NaN,NaN,NaN,NaN
2910,324,5,-0.489,2.848,27.4,NaN,11.583
2912,324.28,7,NaN,NaN,NaN,NaN,NaN
2914,324.56,6,NaN,NaN,NaN,NaN,NaN
2915,324.7,NaN,-0.72,2.72,26.96,NaN,NaN
2916,324.84,6,NaN,NaN,NaN,NaN,NaN
2918,325.12,3,NaN,NaN,NaN,NaN,NaN
2920,325.4,6,-0.725,2.758,27.64,NaN,14.377
2922,325.68,7,NaN,NaN,NaN,NaN,NaN
2924,325.96,6,NaN,NaN,NaN,NaN,NaN
2925,326.1,NaN,-1.084,2.653,30.43,NaN,NaN
2926,326.24,8,NaN,NaN,NaN,NaN,NaN
2928,326.52,7,NaN,NaN,NaN,NaN,NaN
2930,326.8,8,-1.025,2.876,28.68,NaN,14.323
2932,327.08,9,NaN,NaN,NaN,NaN,NaN
2934,327.36,9,NaN,NaN,NaN,NaN,NaN
2935,327.5,NaN,-1.172,2.763,31.24,NaN,NaN
2936,327.64,7,NaN,NaN,NaN,NaN,NaN
2938,327.92,8,NaN,NaN,NaN,NaN,NaN
2940,328.2,9,-1.702,2.573,27.62,NaN,13.737
2942,328.48,9,NaN,NaN,NaN,NaN,NaN
2944,328.76,7,NaN,NaN,NaN,NaN,NaN
2945,328.9,NaN,-1.095,2.722,30.07,NaN,NaN
2946,329.04,9,NaN,NaN,NaN,NaN,NaN
2948,329.32,9,NaN,NaN,NaN,NaN,NaN
2950,329.6,7,-1.186,2.64,29.32,NaN,16.377
2952,329.88,10,NaN,NaN,NaN,NaN,NaN
2954,330.16,10,NaN,NaN,NaN,NaN,NaN
2955,330.3,NaN,-1.184,NaN,28.88,NaN,NaN
2956,330.44,9,NaN,NaN,NaN,NaN,NaN
2958,330.72,8,NaN,NaN,NaN,NaN,NaN
2960,331,9,-1.341,2.429,28.07,NaN,11.757
2962,331.267,9,NaN,NaN,NaN,NaN,NaN
2964,331.533,10,NaN,NaN,NaN,NaN,NaN
2965,331.667,NaN,-0.896,NaN,28.5,NaN,NaN
2966,331.8,12,NaN,NaN,NaN,NaN,NaN
2968,332.067,13,NaN,NaN,NaN,NaN,NaN
2970,332.333,13,-1.147,2.917,27.46,NaN,12.617
2972,332.6,13,NaN,NaN,NaN,NaN,NaN
2975,333,NaN,-1.28,NaN,26.01,NaN,NaN
2976,333.133,20,NaN,NaN,NaN,NaN,NaN
2978,333.4,34,NaN,NaN,NaN,NaN,NaN
2980,333.667,36,-0.467,3.52,27.25,NaN,8.429
2982,333.933,16,NaN,NaN,NaN,NaN,NaN
2984,334.2,18,NaN,NaN,NaN,NaN,NaN
2985,334.333,NaN,-0.948,2.89,27.78,NaN,NaN
2986,334.467,19,NaN,NaN,NaN,NaN,NaN
2988,334.733,21,NaN,NaN,NaN,NaN,NaN
2990,335,16,-0.104,3.722,26.03,NaN,7.997
2992,335.267,25,NaN,NaN,NaN,NaN,NaN
2994,335.533,27,NaN,NaN,NaN,NaN,NaN
2995,335.667,NaN,-0.892,2.85,27.56,NaN,NaN
2998,336.067,15,0.078,3.26,28.81,NaN,3.063
3000,336.333,20,NaN,NaN,NaN,NaN,NaN
3002,336.6,13,-0.051,3.242,25.8,NaN,NaN
3004,336.867,22,NaN,NaN,NaN,NaN,NaN
3005,337,NaN,-0.155,3.067,29.28,NaN,3.368
3006,337.133,25,NaN,NaN,NaN,NaN,NaN
3008,337.4,21,NaN,NaN,NaN,NaN,NaN
3010,337.667,24,-0.578,3.072,NaN,NaN,NaN
3012,337.933,18,NaN,NaN,NaN,NaN,NaN
3014,338.2,19,NaN,NaN,NaN,NaN,NaN
3015,338.333,NaN,0.163,3.561,28.74,NaN,5.525
3016,338.467,21,NaN,NaN,NaN,NaN,NaN
3018,338.733,25,NaN,NaN,NaN,NaN,NaN
3020,339,17,0.084,3.379,28.66,NaN,NaN
3022,339.267,16,NaN,NaN,NaN,NaN,NaN
3024,339.533,20,NaN,NaN,NaN,NaN,NaN
3025,339.667,NaN,0.259,3.942,27.73,NaN,7.791
3026,339.8,19,NaN,NaN,NaN,NaN,NaN
3028,340.067,21,NaN,NaN,NaN,NaN,NaN
3030,340.333,19,0.529,4.161,28.14,NaN,NaN
3032,340.6,20,NaN,NaN,NaN,NaN,NaN
3034,340.867,28,NaN,NaN,NaN,NaN,NaN
3035,341,NaN,0.133,4.382,25.75,NaN,9.865
3036,341.135,20,NaN,NaN,NaN,NaN,NaN
3038,341.406,17,NaN,NaN,NaN,NaN,NaN
3040,341.677,20,0.353,4.2,29.01,NaN,NaN
3042,341.948,18,NaN,NaN,NaN,NaN,NaN
3044,342.218,23,NaN,NaN,NaN,NaN,NaN
3045,342.354,NaN,-0.335,4.166,25.81,NaN,8.269
3046,342.489,22,NaN,NaN,NaN,NaN,NaN
3048,342.76,24,NaN,NaN,NaN,NaN,NaN
3050,343.031,27,0.459,4.128,28.94,NaN,NaN
3052,343.302,26,NaN,NaN,NaN,NaN,NaN
