# DESCRIPTION:
# Reference: T.C. Johnson, J.P. Werne, E.T. Brown, A. Abbott, M. Berke, B.A. Steinman, J. Halbur, S. Contreras, S. Grosshuesch, A. Deino, C.A. Scholz, R.P. Lyons, S. Schouten, and J.S. Sinninghe Damste. 2016. A progressively wetter climate in southern East Africa over the past 1.3 million years. Nature, 537(7619), 220-224. doi: 10.1038/nature19065.
# Data from: https://www.ncei.noaa.gov/access/paleo-search/study/21890. Accessed 07 Jan 2023.
# Comment: Years were converted to kyr.
# Comment: Several variables from the original dataset are not included here.

Age [ka BP],T [deg C],lake level change [m],13C (leaf wax) [per mil]
686.04874,23.44,-361,-27.02
688.3678,23.54,NaN,NaN
688.37518,NaN,-344,NaN
692.46307,24.39,NaN,NaN
692.47415,NaN,-203,-27.23
695.38405,23.41,NaN,NaN
695.39143,NaN,0,NaN
699.67504,22.31,0,-28.92
702.99852,24.9,-26,NaN
709.64549,NaN,-187,-24.07
709.64919,25.59,NaN,NaN
712.48892,NaN,-345,NaN
712.5,22.44,NaN,NaN
715.29542,NaN,-317,-26.57
715.31019,20.96,NaN,NaN
735.33604,21.84,NaN,NaN
735.34712,NaN,-261,-24.32
737.41507,NaN,-480,NaN
739.5938,NaN,-366,NaN
741.72821,23.51,NaN,NaN
741.7356,NaN,-350,-24.82
746.53619,NaN,-345,NaN
746.54357,22.44,NaN,NaN
749.56425,NaN,-202,-24.72
749.57533,25.49,NaN,NaN
752.22304,NaN,-86,NaN
756.82792,25.3,NaN,NaN
756.839,NaN,-52,-29.37
761.82422,NaN,0,NaN
761.8353,25.06,NaN,NaN
764.75997,22.31,NaN,NaN
764.77843,NaN,0,-28.44
767.51108,NaN,0,NaN
767.52585,21.77,NaN,NaN
770.20679,NaN,-85,-25.32
770.21049,24.55,NaN,NaN
784.26514,21.13,NaN,NaN
784.27622,NaN,-15,-26.34
786.48818,23.76,NaN,NaN
786.49188,NaN,-33,NaN
789.18759,22.08,-38,NaN
794.50841,21.77,NaN,NaN
794.52114,NaN,0,-28.23
800.69791,NaN,-188,NaN
800.71065,22.83,NaN,NaN
806.73459,23.96,NaN,NaN
806.74733,NaN,0,-26.85
811.71421,NaN,0,NaN
811.72695,24.51,NaN,NaN
816.40092,22.31,NaN,NaN
816.42639,NaN,0,-28.14
825.59603,NaN,-225,-25.46
832.28222,NaN,-278,NaN
832.30132,22.84,NaN,NaN
840.22287,21.94,NaN,NaN
840.24198,NaN,-245,-25.29
845.01783,NaN,-181,NaN
849.85736,NaN,-238,-25.44
854.99618,21.96,NaN,NaN
855.01528,NaN,-242,NaN
860.45976,21.79,NaN,NaN
860.49159,NaN,-271,NaN
865.84055,NaN,-146,-24.38
870.68008,NaN,-188,NaN
876.08635,22.85,NaN,NaN
876.09272,NaN,-95,-24.62
881.37799,NaN,-200,NaN
881.39073,23.86,NaN,NaN
887.15996,20.46,NaN,NaN
887.17269,NaN,-126,-27.15
892.38156,22.86,NaN,NaN
892.39429,NaN,0,NaN
898.189,NaN,-16,NaN
904.23841,NaN,-217,-25.18
904.26388,23.75,NaN,NaN
910.66989,22.33,-180,NaN
915.68696,21.55,NaN,NaN
915.69646,NaN,-219,-24.87
918.00745,23.51,-258,NaN
920.82495,NaN,-248,-25.33
920.83762,24.12,NaN,NaN
923.56331,25.61,NaN,NaN
923.57914,NaN,0,NaN
925.70019,24.51,0,-26.84
928.06499,25.61,NaN,NaN
928.07449,NaN,0,-24.84
930.44879,NaN,0,NaN
930.45196,25.61,NaN,NaN
932.67347,NaN,0,NaN
932.67571,24.51,NaN,NaN
935.04184,22.69,NaN,NaN
935.05306,NaN,-29,NaN
938.45408,24.08,NaN,NaN
938.46531,NaN,-72,NaN
940.14898,NaN,-183,NaN
940.15796,21.77,NaN,NaN
941.23776,23.73,NaN,NaN
941.24898,NaN,-313,NaN
942.73061,NaN,-225,-22.47
944.1449,NaN,-171,NaN
946.43469,NaN,-160,-23.8
946.44143,23.55,NaN,NaN
949.10612,NaN,-130,NaN
949.11061,23.18,NaN,NaN
950.69102,22.31,NaN,NaN
950.7,NaN,0,-25.56
952.51837,NaN,-194,NaN
952.5251,23.35,NaN,NaN
954.74082,NaN,-440,-24.66
956.91837,NaN,-389,-29.16
961.18367,NaN,-614,-23.92
962.73265,NaN,-582,NaN
964.43878,NaN,-446,NaN
964.44327,21.28,NaN,NaN
966.1898,NaN,NaN,-22.96
971.6898,NaN,NaN,-23.33
973.44082,NaN,-531,NaN
975.12449,NaN,-447,-25.2
977.21,19.13,NaN,NaN
977.21224,NaN,-425,-24.64
983.7449,NaN,0,NaN
983.75163,24.51,NaN,NaN
985.89327,22.88,NaN,NaN
985.9,NaN,-89,-26.85
987.50973,NaN,-273,NaN
988.52919,NaN,-168,NaN
989.43054,23.5,NaN,NaN
989.43676,NaN,-96,-23.31
990.46616,22.81,NaN,NaN
990.46865,NaN,-8,NaN
991.64973,NaN,-282,-25.28
