# DESCRIPTION:
# Reference: WAIS Divide Project Members (2015): Precise interpolar phasing of abrupt climate change during the last ice age. Nature, 520, 661–665, hhttps://doi.org/10.1038/nature14401.
# Data from: https://www.nature.com/articles/nature14401#Sec14. Accessed 07 Jan 2023.
# Comment: Years were converted to kyr.
# Comment: Several variables from the original dataset are not included here.
# Comment: This file combines "WDC CH4 OSU" (11.306 to 26.363 ka BP) and "WDC CH4 PSU" (26.484 to 67.145 ka BP) datasets from the original data. 

Depth (average) [m],WD2014 Gas age [ka BP],CH4 (replicate ave.) [ppb]
2721.37,26.7566,371.86
2724.37,26.8471,370.08
2727.37,26.9388,371.8
2729.36,26.9988,378.96
2731.36,27.0587,359.93
2733.36,27.1188,375.48
2735.36,27.1771,376.17
2737.36,27.2357,372.14
2739.36,27.2947,373.96
2741.41,27.3546,356.21
2743.37,27.4112,387.26
2745.35,27.4673,387.32
2747.45,27.5258,411.42
2749.35,27.5776,436.15
2751.29,27.6312,441.83
2753.34,27.687,446.28
2755.34,27.7434,431.06
2757.39,27.8005,401.5
2759.34,27.8542,370.86
2761.33,27.911,371.82
2763.35,27.9678,359.29
2765.33,28.0226,359.49
2767.33,28.0773,361.02
2769.33,28.1315,361.35
2771.33,28.1856,376.41
2773.33,28.2409,374.31
2775.29,28.2974,375.75
2777.32,28.3576,379.89
2779.32,28.4192,384.23
2781.45,28.4868,385.16
2783.33,28.5467,385.24
2785.31,28.6105,401.72
2787.5,28.6811,418.11
2789.3,28.7385,448.7
2791.3,28.8025,456.5
2793.3,28.8657,462.26
2795.3,28.9291,495.77
2797.3,28.992,451.3
2799.3,29.0533,397.06
2801.3,29.1147,385.65
2803.29,29.1772,386.52
2807.29,29.304,388.51
2809.43,29.3712,381.05
2811.33,29.4313,378.79
2813.28,29.4947,375.51
2815.42,29.5651,384.16
2817.28,29.6246,377.91
2819.32,29.6911,405.55
2821.41,29.7599,383.17
2823.29,29.8223,382.22
2825.27,29.8891,380.72
2827.27,29.9554,386.25
2829.26,30.0247,384.32
2831.26,30.0951,396.69
2833.4,30.172,391.71
2835.26,30.2407,413.16
2837.26,30.3151,391.52
2839.4,30.3958,385.16
2841.26,30.4661,386.69
2843.27,30.5413,402.98
2845.39,30.6194,414.19
2847.25,30.6878,424.91
2849.21,30.7618,393.19
2851.33,30.8464,390.87
2853.24,30.9311,382.26
2855.24,31.0249,388
2857.24,31.1216,388.21
2859.24,31.221,397.41
2861.23,31.328,410.17
2863.37,31.4514,408.49
2865.23,31.5596,402.52
2867.23,31.6753,409.18
2869.37,31.7979,412.23
2871.61,31.9284,421.04
2873.22,32.0234,445.27
2875.36,32.142,449.09
2877.22,32.2385,463.48
2879.22,32.3392,504.54
2881.35,32.4433,517.83
2883.23,32.5307,503.3
2885.21,32.621,461.67
2887.21,32.7074,408.75
2889.21,32.7881,399.72
2891.21,32.8687,408.9
2893.35,32.9579,402.31
2895.2,33.0361,399.42
2897.2,33.1244,410.34
2899.34,33.2251,404.69
2901.19,33.3161,424.08
2903.21,33.4153,424.94
2905.33,33.5174,460.12
