/* DESCRIPTION:
Reference:	Elderfield, H et al. (2012): Evolution of ocean temperature and ice volume through the Mid-Pleistocene Climate Transition. Science, 337(6095), 704-709, https://doi.org/10.1126/science.1221294
Data from:	https://doi.org/10.1594/PANGAEA.786178. Accessed 22 Nov 2022.
Comment:	Several variables from the original dataset are not included here.
*/
Age [ka BP]	Uvigerina spp. δ18O [‰ PDB]	Uvigerina spp. δ13C [‰ PDB]	Mg/Ca [mmol/mol]
504.9	3.99	-0.38	1.114
505.3	3.92	-0.29	1.052
505.6	3.66	-0.13	1.039
505.6	3.94	-0.38	
506	3.67	-0.13	0.929
506.3	4.07	-0.28	1.007
506.7	4.35	-0.27	1.034
507	3.98	-0.37	1.027
507.4	4.32	-0.5	1
507.7	3.98	-0.41	1.059
509.2	4.26	-0.34	
509.9	4.36	-0.14	1.086
510.6	4.26	-0.22	1.12
510.9	4.23	-0.16	1.113
511.3	4.29	-0.33	0.965
512	4.35	-0.2	1.056
513.1	4.3	-0.45	1.055
514.2	4.26	-0.4	1.063
515.3	4.29	-0.45	1.083
515.8	4.23	-0.06	1.168
516.4	3.99	-0.25	1.071
517.5	4.14	-0.24	1.04
518.6	4.19	-0.43	1.126
520.8	4.05	-0.39	1.063
521.3	3.82	-0.33	1.192
521.9	4.04	-0.27	1.184
524.1	4.16	-0.51	
526	4.17	-0.47	1.141
526.8	4.12	-0.54	1.069
527.9	4.24	-0.61	1.03
529	4.25	-0.48	1.022
529.6	4.19	-0.51	1.204
530.1	4.28	-0.76	0.984
531.2	4.27	-0.88	1.121
532.3	4.27	-0.87	1.048
533.4	4.36	-0.9	0.948
534.5	4.51	-0.93	1.017
535.1	4.47	-0.75	1.011
535.6	4.61	-0.98	0.967
536.7	4.6	-0.9	0.936
537.8	4.66	-0.99	1.043
538.9	4.41	-1.34	0.894
540	4.82	-1	1.11
540.5	4.59	-0.68	1.04
541.1	4.62	-1.05	0.899
542.2	4.7	-0.91	0.91
543.2	4.7	-0.9	0.984
544.3	4.57	-1.07	0.951
545.4	4.68	-1.08	0.956
545.9	4.42	-0.91	0.841
546.5	4.63	-1.06	0.96
547.6	4.65	-1.03	0.92
