# DESCRIPTION:
# Reference: Gayatri Kathayat, Hai Cheng, Ashish Sinha, Christoph Spötl, R. Lawrence Edwards, Haiwei Zhang, Xianglei Li, Liang Yi, Youfeng Ning, Yanjun Cai, Weiguo Lui Lui, Sebastian F.M. Breitenbach. 2016. Indian monsoon variability on millennial-orbital timescales. Scientific Reports, 6, 24374. doi: 10.1038/srep24374.
# Data from: hhttps://www.ncei.noaa.gov/access/paleo-search/study/20449. Accessed 07 Jan 2023.
# Comment: Data was not modified in any way.

Age [ka BP],d18O [per mil VPDB],d13C [per mil VPDB]
18.363,-4.973,-8.047
18.374,-4.711,-7.889
18.385,-5.052,-7.796
18.396,-4.952,-7.887
18.407,-5.281,-7.983
18.418,-4.919,-7.569
18.429,-5.005,-6.799
18.439,-4.852,-7.412
18.45,-4.56,-6.945
18.461,-4.818,-7.853
18.472,-4.47,-7.468
18.483,-4.225,-7.385
18.498,-3.874,-4.953
18.514,-5.486,-7.297
18.529,-5.403,-7.314
18.545,-5.332,-6.64
18.56,-5.552,-6.87
18.575,-5.893,-6.922
18.591,-4.746,-6.291
18.606,-4.659,-7.427
18.622,-4.511,-6.531
18.637,-4.75,-7.396
18.652,-4.634,-6.918
18.668,-4.6,-7.121
18.683,-4.949,-6.714
18.699,-4.613,-6.449
18.714,-4.386,-7.452
18.729,-4.26,-6.739
18.745,-3.729,-4.083
18.76,-3.584,-5.247
18.776,-4.053,-6.022
18.791,-4.431,-6.234
18.806,-4.742,-6.936
18.822,-4.622,-7.02
18.837,-4.722,-7.07
18.853,-4.891,-7.14
18.868,-5.231,-7.387
18.883,-5.589,-7.782
18.899,-6.046,-7.857
18.914,-5.507,-7.025
18.93,-5.285,-6.422
18.945,-5.374,-7.323
18.96,-5.526,-7.064
18.976,-4.984,-6.791
18.991,-4.911,-6.126
19.007,-4.857,-7.066
19.022,-4.806,-7.407
19.037,-4.429,-6.805
19.053,-4.797,-7.389
19.068,-4.477,-5.944
19.079,-4.404,-6.665
19.089,-4.382,-7.226
19.098,-4.461,-6.455
19.108,-4.536,-7.602
19.118,-4.456,-6.917
19.128,-4.561,-6.517
19.138,-4.386,-5.838
19.148,-4.386,-6.555
19.157,-4.716,-6.794
19.167,-4.696,-6.355
19.177,-5.077,-6.767
19.188,-5.014,-7.186
19.198,-5.328,-6.562
19.208,-5.173,-6.606
19.218,-5.04,-6.894
19.228,-5.245,-7.221
19.238,-5.298,-7.089
19.248,-4.903,-7.111
19.259,-5.037,-7.589
19.269,-4.576,-5.833
19.279,-4.928,-7.365
19.289,-4.737,-7.597
19.299,-4.477,-6.357
19.309,-4.457,-6.573
19.317,-4.98,-6.684
19.324,-5.105,-6.983
19.332,-5.05,-6.396
19.339,-5.101,-6.921
19.347,-5.129,-6.855
19.354,-5.254,-7.379
19.362,-4.709,-7.464
19.369,-4.526,-7.571
19.377,-4.543,-7.394
19.384,-4.693,-6.454
19.392,-4.86,-7.637
19.399,-5.212,-8.066
19.407,-5.355,-8.53
19.415,-5.13,-7.917
19.422,-5.375,-8.574
19.43,-5.695,-8.329
19.437,-5.833,-8.399
19.445,-5.317,-8.286
19.452,-5.36,-8.515
19.46,-5.133,-8.233
19.467,-4.925,-8.199
19.475,-4.953,-8.338
19.482,-4.599,-8.066
19.49,-5.167,-8.353
19.497,-5.198,-8.343
19.505,-4.881,-8.203
19.512,-3.746,-6.483
19.52,-3.622,-5.212
19.575,-4.286,-7.008
19.631,-4.47,-7.054
19.686,-4.771,-6.958
19.742,-4.682,-7.106
19.797,-4.756,-7.274
