# DESCRIPTION:
# Reference: Barker, Stephen (2021): Planktic foraminiferal and Ice Rafted Debris (IRD) counts from ODP Site 983. PANGAEA, https://doi.org/10.1594/PANGAEA.929721
# Data from: https://doi.org/10.1594/PANGAEA.929721. Accessed 29 Oct 2022.
# Comment: Data was not modified in any way.

Depth [m] (MCD_TOP),Age [ka BP] (U1385 age),N. pachyderma s [%],IRD [#/g]
10.23,93.80755,94.35484,60.90404
10.25,93.94863,92.80576,20.03443
10.27,94.08972,92.92308,39.71702
10.29,94.2308,93.05994,18.99392
10.31,94.37188,93.86973,30.85824
10.33,94.51296,78.33828,35.66879
10.35,94.65404,91.78082,11.47776
10.37,94.79512,91.18541,13.77331
10.39,94.9362,92.97297,22.02719
10.41,95.07728,90.20979,32.20936
10.43,95.21837,89.58333,0
10.45,95.35945,90.38462,59.61807
10.47,95.50053,90.85873,51.77395
10.49,95.64161,90.86651,21.35113
10.51,95.78269,90.29536,0
10.53,95.92377,91.83673,10.18946
10.55,96.06485,90.37657,20.97673
10.57,96.20594,93.26241,9.5794
10.59,96.34702,90.85174,19.7775
10.61,96.4881,89.52569,46.96673
10.63,96.62918,81.65375,18.39874
10.65,96.77026,75.95819,36.93728
10.67,96.91134,84.61538,32.09629
10.69,97.05242,85.76779,14.45783
10.71,97.1935,82.74232,18.42522
10.73,97.33459,86.91589,32.51089
10.75,97.47567,88.40125,27.67368
10.77,97.61675,92.30769,13.18319
10.79,97.75783,85.13514,33.25416
10.81,97.89891,81.81818,35.74421
10.83,98.03999,84.04908,21.70374
10.85,98.18107,85.83691,17.09402
10.87,98.32215,76.65782,10.52285
10.89,98.46324,73.68421,4.62896
10.91,98.60432,68.3871,4.44815
10.93,98.7454,97.65258,15.12526
10.95,98.88648,80.29046,9.42701
10.97,99.02756,82.85714,7.90774
10.99,99.16864,76.75439,0
11.01,99.30972,75.63559,13.74374
11.03,99.4508,71.60804,24.48185
11.05,99.59189,74.58101,7.46443
11.07,99.73297,74.70726,5.23475
11.09,99.87405,79.54545,15.86515
11.11,100.01513,75.62077,2.4305
11.13,100.15621,76.05634,10.79076
11.15,100.29729,77.92208,18.36705
11.17,100.43837,64.78261,5.12246
11.19,100.57946,68.53933,6.91145
11.21,100.72054,75.88076,22.40112
11.23,100.86162,70.99768,6.54798
11.25,101.0027,64.92147,3.07515
11.27,101.14378,65.54878,0
