# DESCRIPTION:
# Reference: Lauterbach, Stefan; Andersen, Nils; Wang, Yiming V; Blanz, Thomas; Larsen, Thomas; Schneider, Ralph R (2020): An ~130 kyr Record of Surface Water Temperature and δ18O From the Northern Bay of Bengal: Investigating the Linkage Between Heinrich Events and Weak Monsoon Intervals in Asia. Paleoceanography and Paleoclimatology, 35(2), https://doi.org/10.1029/2019PA003646.
# Data from: https://doi.org/10.1594/PANGAEA.912674. Accessed 07 Jan 2023.
# Data from: https://doi.org/10.1594/PANGAEA.912678. Accessed 07 Jan 2023.
# Comment: Several variables from the original dataset are not included here.

Depth [m],Age [ka BP],SST [°C],Foram benth δ18O [‰ PDB],Foram plankt δ18O [‰ PDB]
7.865,88.17,27.78,NaN,NaN
7.885,88.552,27.74,4.262,-1.507
7.905,88.934,27.65,NaN,NaN
7.925,89.315,28.35,3.6,-2.292
7.945,89.697,28.26,NaN,NaN
7.965,90.078,28.3,NaN,NaN
7.985,90.459,28.26,3.88,-1.752
8.005,90.841,28.39,NaN,NaN
8.025,91.222,28.04,3.735,-2.214
8.045,91.603,28.3,NaN,NaN
8.065,91.985,28.04,NaN,NaN
8.085,92.366,28.04,3.714,-2.145
8.105,92.747,28.65,NaN,NaN
8.125,93.128,28.26,3.688,-2.059
8.145,93.509,28.48,NaN,NaN
8.165,93.89,28.3,NaN,NaN
8.185,94.271,27.91,3.64,-2.269
8.205,94.652,28.3,NaN,NaN
8.225,95.033,28.3,3.725,-1.905
8.245,95.414,28.52,NaN,NaN
8.265,95.795,28.74,NaN,NaN
8.285,96.176,28.65,3.567,-2.183
8.305,96.557,28.65,NaN,NaN
8.345,97.318,28.39,NaN,NaN
8.365,97.699,28.57,NaN,NaN
8.385,98.08,28.43,3.581,-2.336
8.405,98.461,28.39,NaN,NaN
8.425,98.842,28.52,3.621,-2.62
8.445,99.222,28.43,NaN,NaN
8.465,99.603,28.43,NaN,NaN
8.485,99.983,28.39,3.728,-2.75
8.505,100.364,28.17,NaN,NaN
8.525,100.745,28.09,3.666,-2.572
8.545,101.125,28.04,NaN,NaN
8.565,101.506,27.17,NaN,NaN
8.585,101.887,27.87,3.662,-2.594
8.605,102.267,28.17,NaN,NaN
8.625,102.648,28.52,3.718,-2.75
8.645,103.029,28.48,NaN,NaN
8.665,103.409,28.52,NaN,NaN
8.685,103.79,28.09,3.669,-2.911
8.705,104.228,27.65,NaN,NaN
8.725,104.666,27.3,3.907,-2.376
8.745,105.104,28.17,NaN,NaN
8.765,105.542,27.96,NaN,NaN
8.785,105.979,28.7,3.899,-2.754
8.805,106.417,28.74,NaN,NaN
8.825,106.855,28.87,3.867,-2.558
8.845,107.293,28.48,NaN,NaN
8.865,107.73,28.7,NaN,NaN
8.885,108.168,28.48,3.664,-2.287
8.905,108.605,28.65,NaN,NaN
8.925,109.043,28.13,3.768,-2.232
8.945,109.481,28.43,NaN,NaN
8.965,109.919,28.26,NaN,NaN
8.985,110.356,28.17,3.84,-1.991
9.005,110.794,28.48,NaN,NaN
9.025,111.232,28.57,3.93,-2.245
9.045,111.67,28.48,NaN,NaN
9.065,112.107,28.43,NaN,NaN
9.085,112.545,28.78,3.72,-2.177
9.105,112.982,28.87,NaN,NaN
9.125,113.42,29.04,3.666,-2.259
9.145,113.857,29.13,NaN,NaN
9.165,114.295,29,NaN,NaN
9.185,114.732,29.13,3.581,-2.156
9.205,115.17,29.22,NaN,NaN
9.225,115.607,29,3.728,-2.347
9.245,116.044,28.74,NaN,NaN
9.265,116.481,29.22,NaN,NaN
9.285,116.918,29.09,3.542,-2.854
9.305,117.495,29.04,NaN,NaN
9.325,118.071,29.17,3.07,-2.963
9.345,118.648,29.13,NaN,NaN
9.365,119.225,29.26,NaN,NaN
9.385,119.802,29.04,3.082,-3.534
9.405,120.379,29.04,NaN,NaN
9.425,120.956,29.04,3.49,-3.691
9.445,121.533,29.17,NaN,NaN
9.465,122.11,28.91,NaN,NaN
9.485,122.686,29.04,3.173,-3.312
9.505,123.263,29,NaN,NaN
9.525,123.84,28.74,2.565,-3.351
9.545,124.417,28.96,NaN,NaN
9.565,124.994,28.91,NaN,NaN
9.585,125.57,28.91,NaN,NaN
9.605,126.147,28.39,NaN,NaN
9.625,126.724,28.48,2.908,-1.316
9.645,127.301,28.48,NaN,NaN
9.665,127.877,28.35,NaN,NaN
9.685,128.454,28.09,3.53,-1.016
9.705,128.724,28.39,NaN,NaN
