# DESCRIPTION:
# Reference: Westerhold, T., Marwan, N., Drury, A. J., Liebrand, D., Agnini, C., Anagnostou, E., ... & Zachos, J. C. (2020). An astronomically dated record of Earth’s climate and its predictability over the last 66 million years. Science, 369(6509), 1383-1387, https://doi.org/10.1126/science.aba6853
#Data from: https://doi.org/10.1126/science.aba6853. Accessed 22 Nov 2022.
# Comment: Several variables from the original dataset are not included here.

age_tuned [Ma BP],d18O interp,d13C interp,d18O LOESS LongTerm,d13C LOESS LongTerm
0.788,3.629,-0.456,4.42922,-0.77822
0.790,3.987,-0.807,4.42821,-0.77895
0.792,4.118,-0.730,4.4272,-0.77955
0.794,4.496,-1.003,4.42619,-0.78002
0.796,4.875,-1.275,4.42518,-0.78034
0.798,5.170,-1.290,4.42414,-0.78053
0.800,5.070,-1.075,4.42305,-0.7806
0.802,4.907,-1.273,4.42192,-0.78057
0.804,4.940,-1.203,4.42073,-0.78042
0.806,4.867,-1.130,4.4195,-0.78016
0.808,4.657,-0.720,4.41822,-0.7798
0.810,4.480,-0.773,4.41689,-0.77934
0.812,4.666,-0.878,4.41553,-0.77878
0.814,4.448,-1.050,4.41412,-0.77813
0.816,4.368,-0.906,4.41267,-0.77739
0.818,4.180,-0.397,4.41118,-0.77655
0.820,4.128,-0.773,4.40966,-0.77563
0.822,4.115,-0.592,4.4081,-0.77463
0.824,3.907,-0.465,4.40651,-0.77355
0.826,4.230,-0.845,4.40488,-0.77239
0.828,4.212,-1.003,4.40322,-0.77116
0.830,4.345,-0.305,4.40154,-0.76986
0.832,4.185,-0.332,4.39982,-0.76849
0.834,4.098,-0.689,4.39808,-0.76705
0.836,4.124,-0.494,4.39631,-0.76556
0.838,4.150,-0.300,4.39452,-0.764
0.840,4.535,-0.424,4.39271,-0.76239
0.842,4.110,-0.770,4.39087,-0.76073
0.844,4.038,-0.498,4.38902,-0.75902
0.846,3.880,-0.310,4.38715,-0.75726
0.848,3.800,-0.190,4.38526,-0.75545
0.850,3.925,-0.722,4.38336,-0.75361
0.852,3.655,-0.400,4.38144,-0.75173
0.854,3.878,-0.458,4.37951,-0.74982
0.856,4.085,-0.270,4.37757,-0.74787
0.858,3.972,-0.739,4.37562,-0.7459
0.860,3.904,-0.730,4.37367,-0.7439
0.862,3.837,-0.720,4.3717,-0.74188
0.864,3.777,-0.993,4.36973,-0.73984
0.866,4.202,-0.993,4.36776,-0.73779
0.868,4.950,-1.315,4.36579,-0.73572
0.870,4.910,-1.647,4.36382,-0.73364
0.872,5.085,-1.420,4.36184,-0.73155
0.874,4.880,-1.255,4.35987,-0.72946
0.876,5.053,-1.290,4.35791,-0.72737
0.878,5.010,-2.100,4.35595,-0.72528
0.880,4.776,-1.070,4.35399,-0.7232
0.882,4.811,-1.273,4.35205,-0.72112
0.884,4.847,-1.477,4.35011,-0.71906
0.886,4.843,-1.473,4.34819,-0.71701
0.888,4.840,-1.470,4.34628,-0.71498
0.890,4.970,-1.410,4.34438,-0.71297
0.892,4.815,-1.710,4.3425,-0.71098
0.894,4.838,-1.485,4.34063,-0.70901
0.896,4.860,-1.260,4.33879,-0.70708
0.898,4.630,-1.340,4.33696,-0.70518
0.900,4.660,-0.380,4.33516,-0.70331
0.902,4.590,-0.050,4.33337,-0.70149
0.904,4.435,-0.315,4.33162,-0.6997
0.906,4.180,-0.930,4.32989,-0.69796
0.908,4.470,-0.500,4.32818,-0.69627
0.910,4.400,-0.150,4.32651,-0.69462
